p3,p4_0,p4_1,p5_0,p5_1,p5_2,l3,cluster_size,arrangements,hodge_profiles,modular_forms
16,10,0,0,0,0,0,3,"83,84,84a",h12=0|h11=40|euler=80;h12=1|h11=41|euler=80,"12k4A,6k4A"
32,6,0,0,0,0,0,2,"78,79",h12=3|h11=35|euler=64;h12=4|h11=36|euler=64,
8,0,4,0,0,4,4,1,1,h12=1|h11=69|euler=136,
8,2,7,0,0,2,3,1,10,h12=1|h11=57|euler=112,
9,1,5,0,1,2,3,1,11,h12=1|h11=61|euler=120,
12,0,11,0,0,1,3,1,12,h12=3|h11=51|euler=96,
9,0,9,0,1,1,3,1,13,h12=2|h11=56|euler=108,
6,0,7,0,2,1,3,1,14,h12=1|h11=61|euler=120,
18,0,6,1,0,1,2,1,15,h12=3|h11=51|euler=96,
22,0,2,0,2,1,2,1,16,h12=3|h11=55|euler=104,
18,1,2,0,2,1,2,1,17,h12=2|h11=56|euler=108,
14,2,2,0,2,1,2,1,18,h12=1|h11=57|euler=112,
25,0,4,0,1,1,2,1,19,h12=4|h11=50|euler=92,
4,1,4,0,0,4,4,1,2,h12=0|h11=70|euler=140,8k4A
21,1,4,0,1,1,2,1,20,h12=3|h11=51|euler=96,
17,2,4,0,1,1,2,1,21,h12=2|h11=52|euler=100,
13,3,4,0,1,1,2,1,22,h12=1|h11=53|euler=104,
9,4,4,0,1,1,2,1,23,h12=0|h11=54|euler=108,64k4A
28,0,6,0,0,1,2,1,24,h12=5|h11=45|euler=80,
24,1,6,0,0,1,2,1,25,h12=4|h11=46|euler=84,
20,2,6,0,0,1,2,1,26,h12=3|h11=47|euler=88,
16,3,6,0,0,1,2,1,27,h12=2|h11=48|euler=92,
12,4,6,0,0,1,2,1,28,h12=1|h11=49|euler=96,
18,0,6,0,2,0,2,1,29,h12=3|h11=51|euler=96,
20,0,3,0,0,3,3,1,3,h12=3|h11=59|euler=112,
14,1,6,0,2,0,2,1,30,h12=2|h11=52|euler=100,
10,2,6,0,2,0,2,1,31,h12=1|h11=53|euler=104,
21,0,8,0,1,0,2,1,32,h12=4|h11=46|euler=84,
17,1,8,0,1,0,2,1,33,h12=3|h11=47|euler=88,
13,2,8,0,1,0,2,1,34,h12=2|h11=48|euler=92,
24,0,10,0,0,0,2,1,35,h12=5|h11=41|euler=72,
20,1,10,0,0,0,2,1,36,h12=4|h11=42|euler=76,
16,2,10,0,0,0,2,1,37,h12=3|h11=43|euler=80,
34,0,1,0,2,0,1,1,38,h12=5|h11=45|euler=80,
30,1,1,0,2,0,1,1,39,h12=4|h11=46|euler=84,
16,1,3,0,0,3,3,1,4,h12=2|h11=60|euler=116,
26,2,1,0,2,0,1,1,40,h12=3|h11=47|euler=88,
22,3,1,0,2,0,1,1,41,h12=2|h11=48|euler=92,
18,4,1,0,2,0,1,1,42,h12=1|h11=49|euler=96,
14,5,1,0,2,0,1,1,43,h12=0|h11=50|euler=100,16k4A
32,0,1,1,2,0,1,1,44,h12=3|h11=51|euler=96,
27,0,3,1,1,0,1,1,45,h12=4|h11=46|euler=84,
23,1,3,1,1,0,1,1,46,h12=3|h11=47|euler=88,
19,2,3,1,1,0,1,1,47,h12=2|h11=48|euler=92,
40,0,5,0,0,0,1,1,48,h12=7|h11=35|euler=56,
36,1,5,0,0,0,1,1,49,h12=6|h11=36|euler=60,
12,2,3,0,0,3,3,1,5,h12=1|h11=61|euler=120,
32,2,5,0,0,0,1,1,50,h12=5|h11=37|euler=64,
28,3,5,0,0,0,1,1,51,h12=4|h11=38|euler=68,
24,4,5,0,0,0,1,1,52,h12=3|h11=39|euler=72,
20,5,5,0,0,0,1,1,53,h12=2|h11=40|euler=76,
16,6,5,0,0,0,1,1,54,h12=1|h11=41|euler=80,
37,0,3,0,1,0,1,1,55,h12=6|h11=40|euler=68,
33,1,3,0,1,0,1,1,56,h12=5|h11=41|euler=72,
29,2,3,0,1,0,1,1,57,h12=4|h11=42|euler=76,
25,3,3,0,1,0,1,1,58,h12=3|h11=43|euler=80,
21,4,3,0,1,0,1,1,59,h12=2|h11=44|euler=84,
8,3,3,0,0,3,3,1,6,h12=0|h11=62|euler=124,32k4C
17,5,3,0,1,0,1,1,60,h12=1|h11=45|euler=88,
13,6,3,0,1,0,1,1,61,h12=0|h11=46|euler=92,64k4C
36,0,0,2,0,0,0,1,62,h12=5|h11=41|euler=72,
32,1,0,2,0,0,0,1,63,h12=4|h11=42|euler=76,
28,2,0,2,0,0,0,1,64,h12=3|h11=43|euler=80,
24,3,0,2,0,0,0,1,65,h12=2|h11=44|euler=84,
46,0,0,1,0,0,0,1,66,h12=7|h11=35|euler=56,
42,1,0,1,0,0,0,1,67,h12=6|h11=36|euler=60,
38,2,0,1,0,0,0,1,68,h12=5|h11=37|euler=64,
34,3,0,1,0,0,0,1,69,h12=4|h11=38|euler=68,
16,0,7,0,0,2,3,1,7,h12=3|h11=55|euler=104,
30,4,0,1,0,0,0,1,70,h12=3|h11=39|euler=72,
26,5,0,1,0,0,0,1,71,h12=2|h11=40|euler=76,
56,0,0,0,0,0,0,1,72,h12=9|h11=29|euler=40,
52,1,0,0,0,0,0,1,73,h12=8|h11=30|euler=44,
48,2,0,0,0,0,0,1,74,h12=7|h11=31|euler=48,
44,3,0,0,0,0,0,1,75,h12=6|h11=32|euler=52,
40,4,0,0,0,0,0,1,76,h12=5|h11=33|euler=56,
36,5,0,0,0,0,0,1,77,h12=4|h11=34|euler=60,
12,1,7,0,0,2,3,1,8,h12=2|h11=56|euler=108,
28,7,0,0,0,0,0,1,80,h12=3|h11=37|euler=68,
24,8,0,0,0,0,0,1,81,h12=2|h11=38|euler=72,
20,9,0,0,0,0,0,1,82,h12=1|h11=39|euler=76,
8,12,0,0,0,0,0,1,85,h12=0|h11=44|euler=88,8k4A
13,0,5,0,1,2,3,1,9,h12=2|h11=60|euler=116,
