category,arrangement_a,arrangement_b,same_singularity_profile,same_hodge_profile,same_modular_form,modular_form_a,modular_form_b,singularity_profile_a,singularity_profile_b,hodge_profile_a,hodge_profile_b,note,flag_83_vs_84,flag_84_vs_84a,flag_2_vs_85,flag_hodge_cluster_3_51
same_hodge_different_singularity,10,18,False,True,True,,,p3=8|p4_0=2|p4_1=7|p5_0=0|p5_1=0|p5_2=2|l3=3,p3=14|p4_0=2|p4_1=2|p5_0=0|p5_1=2|p5_2=1|l3=2,h12=1|h11=57|euler=112,h12=1|h11=57|euler=112,,False,False,False,False
same_hodge_different_singularity,11,14,False,True,True,,,p3=9|p4_0=1|p4_1=5|p5_0=0|p5_1=1|p5_2=2|l3=3,p3=6|p4_0=0|p4_1=7|p5_0=0|p5_1=2|p5_2=1|l3=3,h12=1|h11=61|euler=120,h12=1|h11=61|euler=120,,False,False,False,False
same_hodge_different_singularity,12,15,False,True,True,,,p3=12|p4_0=0|p4_1=11|p5_0=0|p5_1=0|p5_2=1|l3=3,p3=18|p4_0=0|p4_1=6|p5_0=1|p5_1=0|p5_2=1|l3=2,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,12,20,False,True,True,,,p3=12|p4_0=0|p4_1=11|p5_0=0|p5_1=0|p5_2=1|l3=3,p3=21|p4_0=1|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,12,29,False,True,True,,,p3=12|p4_0=0|p4_1=11|p5_0=0|p5_1=0|p5_2=1|l3=3,p3=18|p4_0=0|p4_1=6|p5_0=0|p5_1=2|p5_2=0|l3=2,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,12,44,False,True,True,,,p3=12|p4_0=0|p4_1=11|p5_0=0|p5_1=0|p5_2=1|l3=3,p3=32|p4_0=0|p4_1=1|p5_0=1|p5_1=2|p5_2=0|l3=1,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,13,17,False,True,True,,,p3=9|p4_0=0|p4_1=9|p5_0=0|p5_1=1|p5_2=1|l3=3,p3=18|p4_0=1|p4_1=2|p5_0=0|p5_1=2|p5_2=1|l3=2,h12=2|h11=56|euler=108,h12=2|h11=56|euler=108,,False,False,False,False
same_hodge_different_singularity,15,20,False,True,True,,,p3=18|p4_0=0|p4_1=6|p5_0=1|p5_1=0|p5_2=1|l3=2,p3=21|p4_0=1|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,15,29,False,True,True,,,p3=18|p4_0=0|p4_1=6|p5_0=1|p5_1=0|p5_2=1|l3=2,p3=18|p4_0=0|p4_1=6|p5_0=0|p5_1=2|p5_2=0|l3=2,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,15,44,False,True,True,,,p3=18|p4_0=0|p4_1=6|p5_0=1|p5_1=0|p5_2=1|l3=2,p3=32|p4_0=0|p4_1=1|p5_0=1|p5_1=2|p5_2=0|l3=1,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,20,29,False,True,True,,,p3=21|p4_0=1|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,p3=18|p4_0=0|p4_1=6|p5_0=0|p5_1=2|p5_2=0|l3=2,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,20,44,False,True,True,,,p3=21|p4_0=1|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,p3=32|p4_0=0|p4_1=1|p5_0=1|p5_1=2|p5_2=0|l3=1,h12=3|h11=51|euler=96,h12=3|h11=51|euler=96,,False,False,False,True
same_hodge_different_singularity,21,30,False,True,True,,,p3=17|p4_0=2|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,p3=14|p4_0=1|p4_1=6|p5_0=0|p5_1=2|p5_2=0|l3=2,h12=2|h11=52|euler=100,h12=2|h11=52|euler=100,,False,False,False,False
same_hodge_different_singularity,22,31,False,True,True,,,p3=13|p4_0=3|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,p3=10|p4_0=2|p4_1=6|p5_0=0|p5_1=2|p5_2=0|l3=2,h12=1|h11=53|euler=104,h12=1|h11=53|euler=104,,False,False,False,False
same_hodge_different_singularity,24,38,False,True,True,,,p3=28|p4_0=0|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2,p3=34|p4_0=0|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,h12=5|h11=45|euler=80,h12=5|h11=45|euler=80,,False,False,False,False
same_hodge_different_singularity,25,32,False,True,True,,,p3=24|p4_0=1|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2,p3=21|p4_0=0|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2,h12=4|h11=46|euler=84,h12=4|h11=46|euler=84,,False,False,False,False
same_hodge_different_singularity,25,39,False,True,True,,,p3=24|p4_0=1|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2,p3=30|p4_0=1|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,h12=4|h11=46|euler=84,h12=4|h11=46|euler=84,,False,False,False,False
