arrangement_id,extracted,has_parameters,parameter_names,num_linear_factors,parse_warning,equation_preview
1,True,False,,8,,(x-y)xy(x+t)(y+t)(x-z)z(z+t)
2,True,True,"A0,A1",8,,xy(A0x+A1y)(x+z)z(y+t)t(x+y+z+t)
3,True,False,,8,,tx(x+t)y(y+t)z(z+t)(x+y-z)
4,True,True,"A0,A1",8,,tx(x+t)y(y+t)z(z+t)(A0x+A1y+(-A0-A1)z)
5,True,True,"A0,A1",8,,tx(x+t)y(y+t)z(z+t)(A0x+A1y-A1z)
6,True,True,"A0,A1,A2",8,,tx(x+t)y(y+t)z(z+t)(A0x+A1y+A2z)
7,True,True,"A0,A1,A2,A3",8,,xy(A0x+A1y)(A0x+A2z)zt(A0x+A3t)(x+y+z+t)
8,True,True,"A0,A1",8,,x(x-y)yz(A0x+A1z)(x+t)(y+t)(z+t)
9,True,True,"A0,A1,A2",8,,xy(A0x+A1y)z(A0x+A2z)(y+t)t(x+y+z+t)
10,True,True,"A0,A1",8,,xy(x+y)z(A0x+A1z)t(A0y+A1t)(x+y+z+t)
11,True,True,"A0,A1,A2",8,,xy(x+y)z(A0x+A1z)t(A0y+A2t)(x+y+z+t)
12,True,True,"A0,A1,A2,A3",8,,xy(A0x+A1y)(A0x+A2z)zt(A1y+A3t)(x+y+z+t)
13,True,True,"A0,A1",8,,x(A0x+A1t)(x+t)y(y+t)z(z+t)(y-z)
14,True,True,"A0,A1,A2",8,,xy(A0x+A1y)(x+z)zt(x+y+z+t)(A0x+A0y+A0z+A2t)
15,True,True,"A0,A1,A2,A3",8,,xy(A0x+A1y)z(A0x+A2z)(A0x+A0y+A0z+A3t)t(x+y+z+t)
16,True,True,"A0,A1",8,,(x-y)xy(x+t)(y+t)(A0x+A1y+(-A0-A1)z)z(z+t)
17,True,True,"A0,A1,A2",8,,xy(A0x+A1y)z(A0x+A2z)(x+t)(y+t)(z+t)
18,True,True,"A0,A1,A2,A3",8,,x(A0x+A1y)yz(A0x+A2z)(A0x+A3y+A3t)t(x+y+z+t)
19,True,False,,8,,(x-y)xy(x+t)(y+t)z(x+y-z)(z+t)
20,True,True,"A0,A1",8,,(x-y)xy(y+t)(x+t)(A0x+A1y-A1z)z(z+t)
21,True,True,"A0,A1",8,,xy(x+y)z(A0x+A1z)((-A0+A1)x+A1y+(-A0+A1)t)t(x+y+z+t)
22,True,True,"A0,A1,A2",8,,(A0x+A1y)xyz(A0x+A1y+A2z)(x+t)(y+t)(z+t)
23,True,True,"A0,A1,A2",8,,xy(A0x+A1y)(x+z)zt(A0x+A0y+A2t)(x+y+z+t)
24,True,True,"A0,A1,A2",8,,xy(A0x+A1y)z(x+z)(A0x+A2y+A0t)t(x+y+z+t)
25,True,True,"A0,A1,A2",8,,(x-y)xy(x+t)(y+t)z(A0x+A1y+A2z)(z+t)
26,True,True,"A0,A1,A2",8,,xy(A0x+A1y)z((-A0+A1)x+A1z)(A0x+A2y+A0t)t(x+y+z+t)
27,True,True,"A0,A1,A2,A3",8,,xy(A0x+A1y)((-A0+A2)x+A2z)zt(A0x+A2y+A3t)(x+y+z+t)
28,True,True,"A0,A1,A2,A3",8,,xy(A0x+A1y)((-A2+A3)x+A3z)z(A2x+A1y+A3t)t(x+y+z+t)
29,True,True,"A0,A1,A2,A3,A4",8,,xy(A0x+A1y)(A0x+A2z)zt(A0x+A3y+A4t)(x+y+z+t)
30,True,True,"A0,A1,A2",8,,(x-y)xy(x+t)(y+t)z(z+t)(A0x+A1z+A2t)
31,True,True,"A0,A1,A2,A3",8,,xy(A0x+A1y)(x+z)z(A0x+A2y+A0z+A3t)t(x+y+z+t)
32,True,False,,8,,(x-y)xy(y+t)(x+t)z(x-y-2z-t)(z+t)
33,True,True,"A0,A1",8,,(x-y)xy(y+t)(x+t)z(A0x-A0y+A1z-A0t)(z+t)
34,True,True,"A0,A1",8,,(x-y)xy(y+t)(x+t)z(A0x+A0y+A1z+A0t)(z+t)
35,True,True,"A0,A1",8,,(x-y)xy(y+t)(x+t)z(A0x+A1y+(-A0+A1)z+A1t)(z+t)
36,True,True,"A0,A1",8,,xy(A0x+A1y)z(x+z)t((A0-A1)y+(A0-A1)z+A0t)(x+y+z+t)
37,True,True,"A0,A1,A2",8,,xy(A0x+(A0+A1)y)z(x+z)t(A1y+A2z-A0t)(x+y+z+t)
38,True,True,"A0,A1,A2",8,,xy(A0x+A1y)z(x+z)t((A0-A1)y+A0z+A2t)(x+y+z+t)
39,True,True,"A0,A1,A2",8,,xy(A0x+A1y)z(x+z)t(A0y+A0z+A2t)(x+y+z+t)
40,True,True,"A0,A1,A2",8,,(x-y)xy(y+t)(x+t)z(A0x+A1y+A2z+A1t)(z+t)
41,True,True,"A0,A1,A2",8,,xy(A0x+A1y)(x+z)zt(x+y+z+t)(A0x+A1y+A1z+A2t)
42,True,True,"A0,A1,A2",8,,(x-y)xy(x+t)(y+t)z(z+t)(A0x-A0y+A1z+A2t)
43,True,True,"A0,A1,A2,A3",8,,xy(A0x+A1y)(x+z)zt(x+y+z+t)(A0x+A2y+A2z+A3t)
44,True,True,"A0,A1,A2,A3",8,,xy((A0-A2)x+(A1-A2)y)(x+z)zt(x+y+z+t)(A0x+A1y+A2z+A3t)
45,True,True,"A0,A1,A2,A3",8,,xy(x+y)(x+z)zt(x+y+z+t)(A0x+A1y+A2z+A3t)
46,True,True,"A0,A1,A2,A3",8,,xy(A0x+A1y)(x+z)zt(x+y+z+t)(A1y+A2z+A3t)
47,True,True,"A0,A1,A2,A3",8,,xy(A0x+A1y)(x+z)zt(x+y+z+t)(A0x+A1y+A2z+A3t)
48,True,True,"A0,A1,A2,A3,A4",8,,xy(A0x+A1y)(x+z)zt(x+y+z+t)(A0x+A2y+A3z+A4t)
49,True,True,"A0,A1,A2,A3,A4",8,,xy(A0x+A1y)z(A0x+A2z)(A0x+A3y+A0z+A4t)t(x+y+z+t)
50,True,True,"A0,A1,A2,A3,A4",8,,xy(A0x+A1y)z(A0x+A2z)(A0x+A3y+A3z+A4t)t(x+y+z+t)
51,True,True,"A0,A1,A2,A3,A4,A5",8,,xy(A0x+A1y)z(A0x+A2z)(A0x+A3y+A4z+A5t)t(x+y+z+t)
