arrangement_id,subset,subset_size,rank,projective_dimension_estimate,labels
84,0,1,1,2,p1
84,1,1,1,2,p2
84,2,1,1,2,p3
84,3,1,1,2,p4
84,4,1,1,2,p5
84,5,1,1,2,p6
84,6,1,1,2,p7
84,7,1,1,2,p8
84,"0,1",2,2,1,"p1,p2"
84,"0,2",2,2,1,"p1,p3"
84,"0,3",2,2,1,"p1,p4"
84,"0,4",2,2,1,"p1,p5"
84,"0,5",2,2,1,"p1,p6"
84,"0,6",2,2,1,"p1,p7"
84,"0,7",2,2,1,"p1,p8"
84,"1,2",2,2,1,"p2,p3"
84,"1,3",2,2,1,"p2,p4"
84,"1,4",2,2,1,"p2,p5"
84,"1,5",2,2,1,"p2,p6"
84,"1,6",2,2,1,"p2,p7"
84,"1,7",2,2,1,"p2,p8"
84,"2,3",2,2,1,"p3,p4"
84,"2,4",2,2,1,"p3,p5"
84,"2,5",2,2,1,"p3,p6"
84,"2,6",2,2,1,"p3,p7"
84,"2,7",2,2,1,"p3,p8"
84,"3,4",2,2,1,"p4,p5"
84,"3,5",2,2,1,"p4,p6"
84,"3,6",2,2,1,"p4,p7"
84,"3,7",2,2,1,"p4,p8"
84,"4,5",2,2,1,"p5,p6"
84,"4,6",2,2,1,"p5,p7"
84,"4,7",2,2,1,"p5,p8"
84,"5,6",2,2,1,"p6,p7"
84,"5,7",2,2,1,"p6,p8"
84,"6,7",2,2,1,"p7,p8"
84,"0,1,2",3,3,0,"p1,p2,p3"
84,"0,1,3",3,3,0,"p1,p2,p4"
84,"0,1,4",3,3,0,"p1,p2,p5"
84,"0,1,5",3,3,0,"p1,p2,p6"
84,"0,1,6",3,3,0,"p1,p2,p7"
84,"0,1,7",3,3,0,"p1,p2,p8"
84,"0,2,3",3,3,0,"p1,p3,p4"
84,"0,2,4",3,3,0,"p1,p3,p5"
84,"0,2,5",3,3,0,"p1,p3,p6"
84,"0,2,6",3,3,0,"p1,p3,p7"
84,"0,2,7",3,3,0,"p1,p3,p8"
84,"0,3,4",3,3,0,"p1,p4,p5"
84,"0,3,5",3,3,0,"p1,p4,p6"
84,"0,3,6",3,3,0,"p1,p4,p7"
84,"0,3,7",3,3,0,"p1,p4,p8"
84,"0,4,5",3,3,0,"p1,p5,p6"
84,"0,4,6",3,3,0,"p1,p5,p7"
84,"0,4,7",3,3,0,"p1,p5,p8"
84,"0,5,6",3,3,0,"p1,p6,p7"
84,"0,5,7",3,3,0,"p1,p6,p8"
84,"0,6,7",3,3,0,"p1,p7,p8"
84,"1,2,3",3,3,0,"p2,p3,p4"
84,"1,2,4",3,3,0,"p2,p3,p5"
84,"1,2,5",3,3,0,"p2,p3,p6"
84,"1,2,6",3,3,0,"p2,p3,p7"
84,"1,2,7",3,3,0,"p2,p3,p8"
84,"1,3,4",3,3,0,"p2,p4,p5"
84,"1,3,5",3,3,0,"p2,p4,p6"
84,"1,3,6",3,3,0,"p2,p4,p7"
