arrangement_id,subset,subset_labels,subset_size,rank,projective_dimension
84a,"0,1,2,3","p1,p2,p3,p4",4,3,0
84a,"0,1,4,5","p1,p2,p5,p6",4,3,0
84a,"0,1,6,7","p1,p2,p7,p8",4,3,0
84a,"0,2,4,7","p1,p3,p5,p8",4,3,0
84a,"0,2,5,6","p1,p3,p6,p7",4,3,0
84a,"0,3,4,6","p1,p4,p5,p7",4,3,0
84a,"1,2,4,6","p2,p3,p5,p7",4,3,0
84a,"2,3,4,5","p3,p4,p5,p6",4,3,0
84a,"2,3,6,7","p3,p4,p7,p8",4,3,0
84a,"4,5,6,7","p5,p6,p7,p8",4,3,0
84a,"0,3,5","p1,p4,p6",3,3,0
84a,"0,3,7","p1,p4,p8",3,3,0
84a,"0,5,7","p1,p6,p8",3,3,0
84a,"1,2,5","p2,p3,p6",3,3,0
84a,"1,2,7","p2,p3,p8",3,3,0
84a,"1,3,4","p2,p4,p5",3,3,0
84a,"1,3,5","p2,p4,p6",3,3,0
84a,"1,3,6","p2,p4,p7",3,3,0
84a,"1,3,7","p2,p4,p8",3,3,0
84a,"1,4,7","p2,p5,p8",3,3,0
84a,"1,5,6","p2,p6,p7",3,3,0
84a,"1,5,7","p2,p6,p8",3,3,0
84a,"2,5,7","p3,p6,p8",3,3,0
84a,"3,4,7","p4,p5,p8",3,3,0
84a,"3,5,6","p4,p6,p7",3,3,0
84a,"3,5,7","p4,p6,p8",3,3,0
