arrangement_id,subset,subset_size,rank,projective_dimension_estimate,labels
84a,0,1,1,2,p1
84a,1,1,1,2,p2
84a,2,1,1,2,p3
84a,3,1,1,2,p4
84a,4,1,1,2,p5
84a,5,1,1,2,p6
84a,6,1,1,2,p7
84a,7,1,1,2,p8
84a,"0,1",2,2,1,"p1,p2"
84a,"0,2",2,2,1,"p1,p3"
84a,"0,3",2,2,1,"p1,p4"
84a,"0,4",2,2,1,"p1,p5"
84a,"0,5",2,2,1,"p1,p6"
84a,"0,6",2,2,1,"p1,p7"
84a,"0,7",2,2,1,"p1,p8"
84a,"1,2",2,2,1,"p2,p3"
84a,"1,3",2,2,1,"p2,p4"
84a,"1,4",2,2,1,"p2,p5"
84a,"1,5",2,2,1,"p2,p6"
84a,"1,6",2,2,1,"p2,p7"
84a,"1,7",2,2,1,"p2,p8"
84a,"2,3",2,2,1,"p3,p4"
84a,"2,4",2,2,1,"p3,p5"
84a,"2,5",2,2,1,"p3,p6"
84a,"2,6",2,2,1,"p3,p7"
84a,"2,7",2,2,1,"p3,p8"
84a,"3,4",2,2,1,"p4,p5"
84a,"3,5",2,2,1,"p4,p6"
84a,"3,6",2,2,1,"p4,p7"
84a,"3,7",2,2,1,"p4,p8"
84a,"4,5",2,2,1,"p5,p6"
84a,"4,6",2,2,1,"p5,p7"
84a,"4,7",2,2,1,"p5,p8"
84a,"5,6",2,2,1,"p6,p7"
84a,"5,7",2,2,1,"p6,p8"
84a,"6,7",2,2,1,"p7,p8"
84a,"0,1,2",3,3,0,"p1,p2,p3"
84a,"0,1,3",3,3,0,"p1,p2,p4"
84a,"0,1,4",3,3,0,"p1,p2,p5"
84a,"0,1,5",3,3,0,"p1,p2,p6"
84a,"0,1,6",3,3,0,"p1,p2,p7"
84a,"0,1,7",3,3,0,"p1,p2,p8"
84a,"0,2,3",3,3,0,"p1,p3,p4"
84a,"0,2,4",3,3,0,"p1,p3,p5"
84a,"0,2,5",3,3,0,"p1,p3,p6"
84a,"0,2,6",3,3,0,"p1,p3,p7"
84a,"0,2,7",3,3,0,"p1,p3,p8"
84a,"0,3,4",3,3,0,"p1,p4,p5"
84a,"0,3,5",3,3,0,"p1,p4,p6"
84a,"0,3,6",3,3,0,"p1,p4,p7"
84a,"0,3,7",3,3,0,"p1,p4,p8"
84a,"0,4,5",3,3,0,"p1,p5,p6"
84a,"0,4,6",3,3,0,"p1,p5,p7"
84a,"0,4,7",3,3,0,"p1,p5,p8"
84a,"0,5,6",3,3,0,"p1,p6,p7"
84a,"0,5,7",3,3,0,"p1,p6,p8"
84a,"0,6,7",3,3,0,"p1,p7,p8"
84a,"1,2,3",3,3,0,"p2,p3,p4"
84a,"1,2,4",3,3,0,"p2,p3,p5"
84a,"1,2,5",3,3,0,"p2,p3,p6"
84a,"1,2,6",3,3,0,"p2,p3,p7"
84a,"1,2,7",3,3,0,"p2,p3,p8"
84a,"1,3,4",3,3,0,"p2,p4,p5"
84a,"1,3,5",3,3,0,"p2,p4,p6"
84a,"1,3,6",3,3,0,"p2,p4,p7"
84a,"1,3,7",3,3,0,"p2,p4,p8"
84a,"1,4,5",3,3,0,"p2,p5,p6"
84a,"1,4,6",3,3,0,"p2,p5,p7"
84a,"1,4,7",3,3,0,"p2,p5,p8"
84a,"1,5,6",3,3,0,"p2,p6,p7"
84a,"1,5,7",3,3,0,"p2,p6,p8"
84a,"1,6,7",3,3,0,"p2,p7,p8"
84a,"2,3,4",3,3,0,"p3,p4,p5"
84a,"2,3,5",3,3,0,"p3,p4,p6"
84a,"2,3,6",3,3,0,"p3,p4,p7"
84a,"2,3,7",3,3,0,"p3,p4,p8"
84a,"2,4,5",3,3,0,"p3,p5,p6"
84a,"2,4,6",3,3,0,"p3,p5,p7"
84a,"2,4,7",3,3,0,"p3,p5,p8"
84a,"2,5,6",3,3,0,"p3,p6,p7"
84a,"2,5,7",3,3,0,"p3,p6,p8"
84a,"2,6,7",3,3,0,"p3,p7,p8"
84a,"3,4,5",3,3,0,"p4,p5,p6"
84a,"3,4,6",3,3,0,"p4,p5,p7"
84a,"3,4,7",3,3,0,"p4,p5,p8"
84a,"3,5,6",3,3,0,"p4,p6,p7"
84a,"3,5,7",3,3,0,"p4,p6,p8"
84a,"3,6,7",3,3,0,"p4,p7,p8"
84a,"4,5,6",3,3,0,"p5,p6,p7"
84a,"4,5,7",3,3,0,"p5,p6,p8"
84a,"4,6,7",3,3,0,"p5,p7,p8"
84a,"5,6,7",3,3,0,"p6,p7,p8"
84a,"0,1,2,3",4,3,0,"p1,p2,p3,p4"
84a,"0,1,2,4",4,4,-1,"p1,p2,p3,p5"
84a,"0,1,2,5",4,4,-1,"p1,p2,p3,p6"
84a,"0,1,2,6",4,4,-1,"p1,p2,p3,p7"
84a,"0,1,2,7",4,4,-1,"p1,p2,p3,p8"
84a,"0,1,3,4",4,4,-1,"p1,p2,p4,p5"
84a,"0,1,3,5",4,4,-1,"p1,p2,p4,p6"
84a,"0,1,3,6",4,4,-1,"p1,p2,p4,p7"
84a,"0,1,3,7",4,4,-1,"p1,p2,p4,p8"
84a,"0,1,4,5",4,3,0,"p1,p2,p5,p6"
84a,"0,1,4,6",4,4,-1,"p1,p2,p5,p7"
84a,"0,1,4,7",4,4,-1,"p1,p2,p5,p8"
84a,"0,1,5,6",4,4,-1,"p1,p2,p6,p7"
84a,"0,1,5,7",4,4,-1,"p1,p2,p6,p8"
84a,"0,1,6,7",4,3,0,"p1,p2,p7,p8"
84a,"0,2,3,4",4,4,-1,"p1,p3,p4,p5"
84a,"0,2,3,5",4,4,-1,"p1,p3,p4,p6"
84a,"0,2,3,6",4,4,-1,"p1,p3,p4,p7"
84a,"0,2,3,7",4,4,-1,"p1,p3,p4,p8"
84a,"0,2,4,5",4,4,-1,"p1,p3,p5,p6"
84a,"0,2,4,6",4,4,-1,"p1,p3,p5,p7"
84a,"0,2,4,7",4,3,0,"p1,p3,p5,p8"
84a,"0,2,5,6",4,3,0,"p1,p3,p6,p7"
84a,"0,2,5,7",4,4,-1,"p1,p3,p6,p8"
84a,"0,2,6,7",4,4,-1,"p1,p3,p7,p8"
84a,"0,3,4,5",4,4,-1,"p1,p4,p5,p6"
84a,"0,3,4,6",4,3,0,"p1,p4,p5,p7"
84a,"0,3,4,7",4,4,-1,"p1,p4,p5,p8"
84a,"0,3,5,6",4,4,-1,"p1,p4,p6,p7"
84a,"0,3,5,7",4,4,-1,"p1,p4,p6,p8"
84a,"0,3,6,7",4,4,-1,"p1,p4,p7,p8"
84a,"0,4,5,6",4,4,-1,"p1,p5,p6,p7"
84a,"0,4,5,7",4,4,-1,"p1,p5,p6,p8"
84a,"0,4,6,7",4,4,-1,"p1,p5,p7,p8"
84a,"0,5,6,7",4,4,-1,"p1,p6,p7,p8"
84a,"1,2,3,4",4,4,-1,"p2,p3,p4,p5"
84a,"1,2,3,5",4,4,-1,"p2,p3,p4,p6"
84a,"1,2,3,6",4,4,-1,"p2,p3,p4,p7"
84a,"1,2,3,7",4,4,-1,"p2,p3,p4,p8"
84a,"1,2,4,5",4,4,-1,"p2,p3,p5,p6"
84a,"1,2,4,6",4,3,0,"p2,p3,p5,p7"
84a,"1,2,4,7",4,4,-1,"p2,p3,p5,p8"
84a,"1,2,5,6",4,4,-1,"p2,p3,p6,p7"
84a,"1,2,5,7",4,4,-1,"p2,p3,p6,p8"
84a,"1,2,6,7",4,4,-1,"p2,p3,p7,p8"
84a,"1,3,4,5",4,4,-1,"p2,p4,p5,p6"
84a,"1,3,4,6",4,4,-1,"p2,p4,p5,p7"
84a,"1,3,4,7",4,4,-1,"p2,p4,p5,p8"
84a,"1,3,5,6",4,4,-1,"p2,p4,p6,p7"
84a,"1,3,5,7",4,4,-1,"p2,p4,p6,p8"
84a,"1,3,6,7",4,4,-1,"p2,p4,p7,p8"
84a,"1,4,5,6",4,4,-1,"p2,p5,p6,p7"
84a,"1,4,5,7",4,4,-1,"p2,p5,p6,p8"
