arrangement,p3,p4_0,p4_1,p5_0,p5_1,p5_2,l3,h12,h11,euler,rigid,modular_form
1,8,0,4,0,0,4,4,1,69,136,false,
2,4,1,4,0,0,4,4,0,70,140,true,8k4A
3,20,0,3,0,0,3,3,3,59,112,false,
4,16,1,3,0,0,3,3,2,60,116,false,
5,12,2,3,0,0,3,3,1,61,120,false,
6,8,3,3,0,0,3,3,0,62,124,true,32k4C
7,16,0,7,0,0,2,3,3,55,104,false,
8,12,1,7,0,0,2,3,2,56,108,false,
9,13,0,5,0,1,2,3,2,60,116,false,
10,8,2,7,0,0,2,3,1,57,112,false,
11,9,1,5,0,1,2,3,1,61,120,false,
12,12,0,11,0,0,1,3,3,51,96,false,
13,9,0,9,0,1,1,3,2,56,108,false,
14,6,0,7,0,2,1,3,1,61,120,false,
15,18,0,6,1,0,1,2,3,51,96,false,
16,22,0,2,0,2,1,2,3,55,104,false,
17,18,1,2,0,2,1,2,2,56,108,false,
18,14,2,2,0,2,1,2,1,57,112,false,
19,25,0,4,0,1,1,2,4,50,92,false,
20,21,1,4,0,1,1,2,3,51,96,false,
21,17,2,4,0,1,1,2,2,52,100,false,
22,13,3,4,0,1,1,2,1,53,104,false,
23,9,4,4,0,1,1,2,0,54,108,true,64k4A
24,28,0,6,0,0,1,2,5,45,80,false,
25,24,1,6,0,0,1,2,4,46,84,false,
26,20,2,6,0,0,1,2,3,47,88,false,
27,16,3,6,0,0,1,2,2,48,92,false,
28,12,4,6,0,0,1,2,1,49,96,false,
29,18,0,6,0,2,0,2,3,51,96,false,
30,14,1,6,0,2,0,2,2,52,100,false,
31,10,2,6,0,2,0,2,1,53,104,false,
32,21,0,8,0,1,0,2,4,46,84,false,
33,17,1,8,0,1,0,2,3,47,88,false,
34,13,2,8,0,1,0,2,2,48,92,false,
35,24,0,10,0,0,0,2,5,41,72,false,
36,20,1,10,0,0,0,2,4,42,76,false,
37,16,2,10,0,0,0,2,3,43,80,false,
38,34,0,1,0,2,0,1,5,45,80,false,
39,30,1,1,0,2,0,1,4,46,84,false,
40,26,2,1,0,2,0,1,3,47,88,false,
41,22,3,1,0,2,0,1,2,48,92,false,
42,18,4,1,0,2,0,1,1,49,96,false,
43,14,5,1,0,2,0,1,0,50,100,true,16k4A
44,32,0,1,1,2,0,1,3,51,96,false,
45,27,0,3,1,1,0,1,4,46,84,false,
46,23,1,3,1,1,0,1,3,47,88,false,
47,19,2,3,1,1,0,1,2,48,92,false,
48,40,0,5,0,0,0,1,7,35,56,false,
49,36,1,5,0,0,0,1,6,36,60,false,
50,32,2,5,0,0,0,1,5,37,64,false,
51,28,3,5,0,0,0,1,4,38,68,false,
52,24,4,5,0,0,0,1,3,39,72,false,
53,20,5,5,0,0,0,1,2,40,76,false,
54,16,6,5,0,0,0,1,1,41,80,false,
55,37,0,3,0,1,0,1,6,40,68,false,
56,33,1,3,0,1,0,1,5,41,72,false,
57,29,2,3,0,1,0,1,4,42,76,false,
58,25,3,3,0,1,0,1,3,43,80,false,
59,21,4,3,0,1,0,1,2,44,84,false,
60,17,5,3,0,1,0,1,1,45,88,false,
61,13,6,3,0,1,0,1,0,46,92,true,64k4C
62,36,0,0,2,0,0,0,5,41,72,false,
63,32,1,0,2,0,0,0,4,42,76,false,
64,28,2,0,2,0,0,0,3,43,80,false,
65,24,3,0,2,0,0,0,2,44,84,false,
66,46,0,0,1,0,0,0,7,35,56,false,
67,42,1,0,1,0,0,0,6,36,60,false,
68,38,2,0,1,0,0,0,5,37,64,false,
69,34,3,0,1,0,0,0,4,38,68,false,
70,30,4,0,1,0,0,0,3,39,72,false,
71,26,5,0,1,0,0,0,2,40,76,false,
72,56,0,0,0,0,0,0,9,29,40,false,
73,52,1,0,0,0,0,0,8,30,44,false,
74,48,2,0,0,0,0,0,7,31,48,false,
75,44,3,0,0,0,0,0,6,32,52,false,
76,40,4,0,0,0,0,0,5,33,56,false,
77,36,5,0,0,0,0,0,4,34,60,false,
78,32,6,0,0,0,0,0,3,35,64,false,
79,32,6,0,0,0,0,0,4,36,64,false,
80,28,7,0,0,0,0,0,3,37,68,false,
81,24,8,0,0,0,0,0,2,38,72,false,
82,20,9,0,0,0,0,0,1,39,76,false,
83,16,10,0,0,0,0,0,1,41,80,false,
84,16,10,0,0,0,0,0,0,40,80,true,6k4A
84a,16,10,0,0,0,0,0,0,40,80,true,12k4A
85,8,12,0,0,0,0,0,0,44,88,true,8k4A
