dataset_id	human_readable_dataset	data_family	storage_completion_class	headline_record_count	nested_enrichment_count	relationship_count	source_status	short_provenance
aesz_cydb_remote	AESZ/CY differential equation database	picard_fuchs	COMPLETE_REMOTE				COMPLETE_REMOTE	Almkvist, van Enckevort, van Straten, Zudilin / CYDB | https://cydb.mathematik.uni-mainz.de/
aps_gcicy_type21_supplements	APS Physical Review D supplemental files g21N5.mx and g21N6.mx	generalized_cicy	COMPLETE_NATIVE_SOURCE		2 native source files		COMPLETE_NATIVE_SOURCE	APS Physical Review D supplemental files g21N5.mx and g21N6.mx | https://journals.aps.org/prd/supplemental/10.1103/PhysRevD.107.086004
borcea_voisin_source_registry	Borcea-Voisin systematic source registry	borcea_voisin	SOURCE_REGISTRY_ONLY				SOURCE_REGISTRY_ONLY	Borcea-Voisin systematic source registry
cicy3_discrete_symmetries_orientifolds	Cicy3 Discrete Symmetries Orientifolds	cicy3	COMPLETE_NATIVE_LAZY				COMPLETE_LOCAL	
cicy3_divisor_configs_orientifold	Cicy3 Divisor Configs Orientifold	cicy3	COMPLETE_NORMALIZED	7821			COMPLETE_LOCAL	
cicy3_divisor_topology_springer	CICY3 divisor topology Springer source	cicy3	COMPLETE_NORMALIZED	7820			COMPLETE_COLUMNAR	CICY3 divisor topology Springer source | https://link.springer.com/article/10.1007/JHEP05%282022%29101
cicy3_divisors_springer	Cicy3 Divisors Springer	cicy3	MANUAL_SOURCE_REQUIRED				COMPLETE_LOCAL	
cicy3_favorable	Favorable CICY threefold presentations	cicy3	COMPLETE_NORMALIZED	7820			COMPLETE_LOCAL	
cicy3_fibrations	Obvious CICY3 fibrations	cicy3	COMPLETE_NORMALIZED	139597			COMPLETE_LOCAL	
cicy3_orientifold_discrete_symmetry	Cicy3 Orientifold Discrete Symmetry	cicy3	COMPLETE_NATIVE_LAZY				COMPLETE_NATIVE	
cicy3_orientifolds_favourable	Cicy3 Orientifolds Favourable	cicy3	COMPLETE_NORMALIZED	7820			COMPLETE_LOCAL	
cicy3_quotient_fibrations	Cicy3 Quotient Fibrations	cicy3	COMPLETE_NORMALIZED	20700			COMPLETE_LOCAL	
cicy3_quotients	CICY free actions and quotients	cicy3	COMPLETE_NORMALIZED	1695			COMPLETE_LOCAL	
cicy3_standard	Complete CICY threefold configurations	cicy3	COMPLETE_NORMALIZED	7890			COMPLETE_LOCAL	
cicy3_thraxion_candidates	Cicy3 Thraxion Candidates	cicy3	COMPLETE_NORMALIZED	1			COMPLETE_LOCAL	
cicy3_thraxion_transitions	Cicy3 Thraxion Transitions	cicy3	COMPLETE_NORMALIZED	1			COMPLETE_LOCAL	
cicy4_core	Complete CICY fourfold configurations/topology	cicy4	COMPLETE_NORMALIZED	921497			COMPLETE_LOCAL	
cicy4_fibrations	CICY4 elliptic fibration archive	cicy4	COMPLETE_NATIVE_LAZY	921497			COMPLETE_NATIVE	
cicy_divisor_topologies_cms_2022	Springer/JHEP CICY divisor topology ESM	cicy3	COMPLETE_NORMALIZED	7820	57885		COMPLETE_COLUMNAR	Springer/JHEP CICY divisor topology ESM | https://link.springer.com/article/10.1007/JHEP05%282022%29101
cicy_gv_invariants_desy	DESY CICY Gopakumar--Vafa Invariants	cicy3	COMPLETE_COLUMNAR	99515615			COMPLETE_COLUMNAR	Carta, Mininno, Righi, Westphal; arXiv:2101.07272 | https://www.desy.de/~westphal/GV_CICY_webpage/GVInvariants.html
cicy_gv_invariants_desy_h11_9_repair	DESY CICY GV h11=9 repaired archive	cicy3_enumerative	SOURCE_CORRUPT				SOURCE_CORRUPT	DESY CICY GV h11=9 repaired archive | https://www.desy.de/~westphal/GV_CICY_webpage/GVInvariants.html
current_corpus_relationships	Current Corpus Relationships	current_corpus_relationships	COMPLETE_RELATIONSHIP			175928	COMPLETE_COLUMNAR	
cytools_source_registry	CYTools software/data interface	toric_hypersurface	SOURCE_REGISTRY_ONLY				SOURCE_REGISTRY_ONLY	CYTools | https://github.com/LiamMcAllisterGroup/cytools
cytools_toric_computable_capability	CYTools computable toric cone and triangulation workflow	toric_hypersurface	COMPUTABLE_NOT_PREENUMERATED				COMPUTABLE_NOT_PREENUMERATED	CYTools computable toric cone and triangulation workflow | https://github.com/LiamMcAllisterGroup/cytools
double_octics	Double Octics	double_octics	PARTIAL_PUBLIC_CORPUS				PARTIAL_PUBLIC_CORPUS	
double_octics_external	Double Octics External	double_octics_external	PARTIAL_PUBLIC_CORPUS				COMPLETE_LOCAL	
explicit_nodal_conifold_corpus	Explicit Nodal Conifold Corpus	explicit_nodal_conifold_corpus	PARTIAL_PUBLIC_CORPUS				PARTIAL_PUBLIC_CORPUS	
gcicy_fake_weighted	Fake weighted projective CYCI records	weighted_p4	COMPLETE_NORMALIZED	1752			COMPLETE_LOCAL	
gcicy_ml_cui_gao_wang_2023	Machine-learned generalized CICY supplemental matrices	cicy3	MANUAL_SOURCE_REQUIRED				MANUAL_SOURCE_REQUIRED	Cui, Gao, Wang; Machine learning configuration matrices for generalized CICYs | https://doi.org/10.1103/PhysRevD.107.086004
genuine_gcicy	Genuine Gcicy	genuine_gcicy	SOURCE_REGISTRY_ONLY				SOURCE_REGISTRY_ONLY	
grassmannian_homogeneous	Grassmannian Homogeneous	grassmannian_homogeneous	SOURCE_REGISTRY_ONLY				SOURCE_REGISTRY_ONLY	
grassmannian_homogeneous_source_only	Grassmannian Homogeneous Source Only	grassmannian_homogeneous_source_only	SOURCE_REGISTRY_ONLY				COMPLETE_LOCAL	
integral_topology_torsion_source_registry	Integral topology/torsion source registry	topology	SOURCE_REGISTRY_ONLY				SOURCE_REGISTRY_ONLY	Integral topology/torsion source registry | https://projecteuclid.org/journals/geometry-and-topology/volume-11/issue-1/Algebraic-topology-of-CalabiYau-threefolds-in-toric-varieties/10.2140/gt.2007.11.597.full
ip_weight_systems_4d	4D IP weight systems with Hodge/K3 data	toric_hypersurface	COMPLETE_NORMALIZED	184026			COMPLETE_LOCAL	
kreuzer_skarke	Kreuzer-Skarke reflexive 4-polytopes	toric_hypersurface	COMPLETE_NATIVE_LAZY	473800776			COMPLETE_COLUMNAR	
ks_orientifolds_groupofxg_2024	GroupofXG KS Orientifold Release	toric_hypersurface	COMPLETE_REMOTE	135			COMPLETE_REMOTE	Cao, Gao, Gao; Orientifold Calabi--Yau threefolds; JHEP10(2024)188 | https://github.com/GroupofXG/anewcydatabase/releases/tag/data-v1
ml_conifold_pfv_scorer_dataset	ML conifold PFV scorer dataset	source_registry	EXCLUDED_LOW_VALUE				UNRESOLVED	ML conifold PFV scorer dataset
