h12,h11,arrangements,cluster_size,note,p3_range,l3_range,p4_0_range,p4_1_range,p5_0_range,p5_1_range,p5_2_range
3,51,"12, 15, 20, 29, 44",5,Repeated Hodge pair across distinct arrangements.,12-32,1-3,0-1,1-11,0-1,0-2,0-1
2,48,"27, 34, 41, 47",4,Repeated Hodge pair across distinct arrangements.,13-22,1-2,2-3,1-8,0-1,0-2,0-1
3,47,"26, 33, 40, 46",4,Repeated Hodge pair across distinct arrangements.,17-26,1-2,1-2,1-8,0-1,0-2,0-1
4,46,"25, 32, 39, 45",4,Repeated Hodge pair across distinct arrangements.,21-30,1-2,0-1,1-8,0-1,0-2,0-1
1,61,"5, 11, 14",3,Repeated Hodge pair across distinct arrangements.,6-12,3-3,0-2,3-7,0-0,0-2,1-3
2,56,"8, 13, 17",3,Repeated Hodge pair across distinct arrangements.,9-18,2-3,0-1,2-9,0-0,0-2,1-2
3,43,"37, 58, 64",3,Repeated Hodge pair across distinct arrangements.,16-28,0-2,2-3,0-10,0-2,0-1,0-0
4,42,"36, 57, 63",3,Repeated Hodge pair across distinct arrangements.,20-32,0-2,1-2,0-10,0-2,0-1,0-0
5,41,"35, 56, 62",3,Repeated Hodge pair across distinct arrangements.,24-36,0-2,0-1,0-10,0-2,0-1,0-0
0,40,"84, 84a",2,Repeated Hodge pair across distinct arrangements.,16-16,0-0,10-10,0-0,0-0,0-0,0-0
1,41,"54, 83",2,Repeated Hodge pair across distinct arrangements.,16-16,0-1,6-10,0-5,0-0,0-0,0-0
1,49,"28, 42",2,Repeated Hodge pair across distinct arrangements.,12-18,1-2,4-4,1-6,0-0,0-2,0-1
1,53,"22, 31",2,Repeated Hodge pair across distinct arrangements.,10-13,2-2,2-3,4-6,0-0,1-2,0-1
1,57,"10, 18",2,Repeated Hodge pair across distinct arrangements.,8-14,2-3,2-2,2-7,0-0,0-2,1-2
2,40,"53, 71",2,Repeated Hodge pair across distinct arrangements.,20-26,0-1,5-5,0-5,0-1,0-0,0-0
2,44,"59, 65",2,Repeated Hodge pair across distinct arrangements.,21-24,0-1,3-4,0-3,0-2,0-1,0-0
2,52,"21, 30",2,Repeated Hodge pair across distinct arrangements.,14-17,2-2,1-2,4-6,0-0,1-2,0-1
2,60,"4, 9",2,Repeated Hodge pair across distinct arrangements.,13-16,3-3,0-1,3-5,0-0,0-1,2-3
3,39,"52, 70",2,Repeated Hodge pair across distinct arrangements.,24-30,0-1,4-4,0-5,0-1,0-0,0-0
3,55,"7, 16",2,Repeated Hodge pair across distinct arrangements.,16-22,2-3,0-0,2-7,0-0,0-2,1-2
4,38,"51, 69",2,Repeated Hodge pair across distinct arrangements.,28-34,0-1,3-3,0-5,0-1,0-0,0-0
5,37,"50, 68",2,Repeated Hodge pair across distinct arrangements.,32-38,0-1,2-2,0-5,0-1,0-0,0-0
5,45,"24, 38",2,Repeated Hodge pair across distinct arrangements.,28-34,1-2,0-0,1-6,0-0,0-2,0-1
6,36,"49, 67",2,Repeated Hodge pair across distinct arrangements.,36-42,0-1,1-1,0-5,0-1,0-0,0-0
7,35,"48, 66",2,Repeated Hodge pair across distinct arrangements.,40-46,0-1,0-0,0-5,0-1,0-0,0-0
