arrangement_id	validation_tier	source_dataset	source_reference	regime	inventory	hodge	hodge_source	automorphism_group_order	gluing_matrix_shape	rank_Q	rank_F2	kernel_dim_Q	cokernel_dim_Q	smith_normal_form	plane_orbit_sizes	double_line_orbit_sizes	multiple_point_orbit_sizes	torsion_invariant_factors	torsion_primes	p_primary_exponents	local_fingerprint	rational_fingerprint	integral_fingerprint	equivariant_fingerprint	hodge_refined_fingerprint	realization_status	inventory_signature	hodge_signature	smith_normal_form_compact
1	S2_HODGE_TABLE_LINKED	ckc_fixed_rational_batch	Cynk--Kocel--Cynk 2026, Section 6.1	TRUNCATED_TWO_STRATUM	"{""l3"":4,""p3"":4,""p4_0"":5,""p4_1"":0,""p5_0"":4,""p5_1"":0,""p5_2"":0}"	"{""euler"":136,""h11"":69,""h12"":1}"	data/raw/cynk_meyer_table1.csv	8	13,16	13	11	3	0	1,1,1,1,1,1,1,1,1,1,1,2,12	4,4	2,2,4,8	1,4,4,4	2,12	2,3	"{""2"":[1,2],""3"":[1]}"	local:13fabb8b620a6058757ac06ee0c489b65752d5160f03ec714812b1903b4387c6	rational:4dba73752abbd81deea1c4721ac44047dc25c830e88bda5ff9ceb9fe01857c72	integral:8cdc9399d310ad8e8dd4f75d687c9868f55a22d0b6d006fcb9493c8911301937	equivariant:014f15ea11c68a49a98cd1e6000e99fee2094b7e4382a6593d9134bc46f92802	hodge_refined:bc1900b004b2837dba62acf15488069d767f6a32ea7fcd30ddfa9d6d201fff04	SOURCE_ONLY	p3=4;p4_0=5;p4_1=0;p5_0=4;p5_1=0;p5_2=0;l3=4	h12=1;h11=69;euler=136	1^11,2,12
3	S2_HODGE_TABLE_LINKED	ckc_fixed_rational_batch	Cynk--Kocel--Cynk 2026, Section 6.1	TRUNCATED_TWO_STRATUM	"{""l3"":3,""p3"":8,""p4_0"":6,""p4_1"":0,""p5_0"":3,""p5_1"":0,""p5_2"":0}"	"{""euler"":112,""h11"":59,""h12"":3}"	data/raw/cynk_meyer_table1.csv	6	17,19	16	13	3	1	1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,12	1,1,3,3	1,3,3,3,3,6	1,1,3,3,3,3,3	2,2,12	2,3	"{""2"":[1,1,2],""3"":[1]}"	local:99d070b192df53ef332ea22e557164d074febcb04bc653c89ccabfe27675ccce	rational:f130d29e4c4d5489b9da64fb9d4d1a777fbcba08f8b21362d620c285d10478a5	integral:ff57b7cf10e8e2c3b0b888a210d7cd89aa157d6f53889cddd9740186d7f6724a	equivariant:fa36adea3502b44ff5542f7b19f5f31b2fa1842c8220179a7a22473f2c0404b8	hodge_refined:7b6b30f40b63c8928de4afbfa9ba5e5993fca3a8d0003f03bd777c34435f535c	SOURCE_ONLY	p3=8;p4_0=6;p4_1=0;p5_0=3;p5_1=0;p5_2=0;l3=3	h12=3;h11=59;euler=112	1^13,2^2,12
19	S2_HODGE_TABLE_LINKED	ckc_fixed_rational_batch	Cynk--Kocel--Cynk 2026, Section 6.1	TRUNCATED_TWO_STRATUM	"{""l3"":2,""p3"":9,""p4_0"":8,""p4_1"":0,""p5_0"":2,""p5_1"":0,""p5_2"":0}"	"{""euler"":92,""h11"":50,""h12"":4}"	data/raw/cynk_meyer_table1.csv	4	19,22	18	16	4	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,20	1,1,2,2,2	1,1,2,2,2,2,4,4,4	1,1,1,1,1,2,2,2,4,4	2,20	2,5	"{""2"":[1,2],""5"":[1]}"	local:960b87e600d23c7faec38121f73d969e922c0077dc1c32b1c22b935de0821c24	rational:3ce290c27529759754ba0fe56236528f7dacbb99361d2aa6c9f14e1d405c8c78	integral:d9f43e2cd1636599af3ad9b9f78e990549ebce9d2d0dfbadda8ba36f266dfec8	equivariant:a96d2a82fd0f41fd3606d6e445e84adb3e8b97286fedf570a39e218187987a8f	hodge_refined:f5f319b283235a41ff63a4acec31892dc7436054705d6b5b9440bff3169d2cda	SOURCE_ONLY	p3=9;p4_0=8;p4_1=0;p5_0=2;p5_1=0;p5_2=0;l3=2	h12=4;h11=50;euler=92	1^16,2,20
32	S2_HODGE_TABLE_LINKED	ckc_fixed_rational_batch	Cynk--Kocel--Cynk 2026, Section 6.1	TRUNCATED_TWO_STRATUM	"{""l3"":2,""p3"":8,""p4_0"":11,""p4_1"":0,""p5_0"":1,""p5_1"":0,""p5_2"":0}"	"{""euler"":84,""h11"":46,""h12"":4}"	data/raw/cynk_meyer_table1.csv	4	20,22	20	18	2	0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12	1,1,2,4	1,1,2,2,2,2,4,4,4	1,1,2,2,2,2,2,4,4	12,12	2,3	"{""2"":[2,2],""3"":[1,1]}"	local:512c3b6c5583f686b7888443d96d6254c760a5865f0b1769e25dad905bf99975	rational:8c13c2243972c1f6d57eae09f14af09a3edba6ed66476b06f8a665cbb4a71762	integral:bfa6187a14091f4be7d1f8689541b66ae7d526dea1283448145bae839a6153fb	equivariant:dcc1f8bb9cd10a9207e9309fd5b1ed9e42b9659ce9a4981a046ed3d4f5da2ce5	hodge_refined:66f0a2c4a944307bcc9403fefd4447cb82739c90639d70f757fec8e8253f6d8d	SOURCE_ONLY	p3=8;p4_0=11;p4_1=0;p5_0=1;p5_1=0;p5_2=0;l3=2	h12=4;h11=46;euler=84	1^18,12^2
69	S2_HODGE_TABLE_LINKED	ckc_fixed_rational_batch	Cynk--Kocel--Cynk 2026, Section 6.1	TRUNCATED_TWO_STRATUM	"{""l3"":1,""p3"":14,""p4_0"":6,""p4_1"":0,""p5_0"":2,""p5_1"":0,""p5_2"":0}"	"{""euler"":68,""h11"":38,""h12"":4}"	data/raw/cynk_meyer_table1.csv	4	22,25	21	20	4	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6	1,1,2,4	1,2,2,2,2,4,4,4,4	1,1,2,2,2,2,2,2,4,4	6	2,3	"{""2"":[1],""3"":[1]}"	local:1b3b0d3929dc47c8a1a7b18278833368cf1f2220cc002446e8cf6946a1f207e4	rational:ed8539db8f660ab2db350019b18145f44f0a5a21f2b18b6c7b4f5808fffe3e6e	integral:8e74e6dadb905be7cd8af48d3b23954084900a46834ade81cabc9f60c7777055	equivariant:91632e2c473b9df302dabef7abe351bfe02761309c5d4db92bcc71bbf0f0785f	hodge_refined:2563f8ba1dc52591253abdee25f6b57eb31a743960821428cf0123c2636a325d	SOURCE_ONLY	p3=14;p4_0=6;p4_1=0;p5_0=2;p5_1=0;p5_2=0;l3=1	h12=4;h11=38;euler=68	1^20,6
84	S2_HODGE_TABLE_LINKED	fixed_equation_batch_001	Existing HodgeCY arrangement_84 representative; Cynk--Meyer/Cynk--Kocel--Cynk control data	CLEAN_TWO_STRATUM	"{""l3"":0,""p3"":16,""p4_0"":10,""p4_1"":0,""p5_0"":0,""p5_1"":0,""p5_2"":0}"	"{""euler"":80,""h11"":40,""h12"":0}"		6	26,28	26	23	2	0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,12	1,1,3,3	1,3,3,3,3,3,3,3,6	1,1,3,3,3,3,3,3,6	2,6,12	2,3	"{""2"":[1,1,2],""3"":[1,1]}"	local:d689892f18909ee09390855bbe914f1af6c790faa8afbdeeae9eeeb3010b5a61	rational:9d168feab7fd7642ecf30d07dacb9d15e40c068b5c91076c9135e77bc9b74af3	integral:0f35cfa13ab162d82ff72b9eefe774ef9525849e3b621dab8bbf942c57f53985	equivariant:a356b7214e1a3bfad56c34f6a7dd420794ae0334918bea5ff0bf8d6292eee697	hodge_refined:69acd5e4bbc7448a621b50a514ac8a5f3469b88d390eea5eb833efa3f277eb6c	SOURCE_ONLY	p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	h12=0;h11=40;euler=80	1^23,2,6,12
84a	S2_HODGE_TABLE_LINKED	fixed_equation_batch_001	Existing HodgeCY arrangement_84a representative; Cynk--Meyer/Cynk--Kocel--Cynk control data	CLEAN_TWO_STRATUM	"{""l3"":0,""p3"":16,""p4_0"":10,""p4_1"":0,""p5_0"":0,""p5_1"":0,""p5_2"":0}"	"{""euler"":80,""h11"":40,""h12"":0}"		24	26,28	26	21	2	0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,12	4,4	4,6,6,12	4,4,6,12	2,4,4,4,12	2,3	"{""2"":[1,2,2,2,2],""3"":[1]}"	local:d689892f18909ee09390855bbe914f1af6c790faa8afbdeeae9eeeb3010b5a61	rational:9d168feab7fd7642ecf30d07dacb9d15e40c068b5c91076c9135e77bc9b74af3	integral:6e71b52edeb7fb43a2d3c314484508c54ae48ffb13fe4d4236e29aabbd1f003c	equivariant:cec0bc22101ff26a383597a0d675a770fa765fb684bc11b28a56d13fa44082b1	hodge_refined:69acd5e4bbc7448a621b50a514ac8a5f3469b88d390eea5eb833efa3f277eb6c	SOURCE_ONLY	p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	h12=0;h11=40;euler=80	1^21,2,4^3,12
93	S1_SOURCE_RECOMPUTED	ckc_fixed_rational_batch	Cynk--Kocel--Cynk 2026, Section 6.1	TRUNCATED_TWO_STRATUM	"{""l3"":1,""p3"":13,""p4_0"":9,""p4_1"":0,""p5_0"":1,""p5_1"":0,""p5_2"":0}"			4	23,25	23	21	2	0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,72	1,1,2,2,2	1,1,1,2,2,2,2,2,4,4,4	1,1,1,1,1,2,2,2,4,4,4	4,72	2,3	"{""2"":[2,3],""3"":[2]}"	local:f07507d334e098cd2c32eb849be75fd0b6c5819b90f93f0bb2196d81fca3d4d0	rational:8acab93fca92c6c48923dc53223b2c1c31e3d29372006a111cca53c04e8c32f8	integral:bc2eabac637538c382f762bc02ed6fd910ee51f91855388db4b68353d1a96122	equivariant:f08c38f9f1a174f4687a9d72103add96ec0924218e8618c4d9ee69fc88f34ccc	hodge_refined:f176092656579d7aeadf1434e84239997b937876f576599e78457de727f0e725	SOURCE_ONLY	p3=13;p4_0=9;p4_1=0;p5_0=1;p5_1=0;p5_2=0;l3=1		1^21,4,72
238	S1_SOURCE_RECOMPUTED	ckc_fixed_rational_batch	Cynk--Kocel--Cynk 2026, Section 6.1	CLEAN_TWO_STRATUM	"{""l3"":0,""p3"":8,""p4_0"":12,""p4_1"":0,""p5_0"":0,""p5_1"":0,""p5_2"":0}"			192	20,28	20	16	8	0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,12	8	12,16	8,12	4,4,4,12	2,3	"{""2"":[2,2,2,2],""3"":[1]}"	local:243745ea368d3b67b2e10f8ab97de620180be2732a15f3a0f7810bb7ee71eeb3	rational:405da6b6fa75a4fb255b0f47f73b366ab6d9c8c909e858a6f48b2786468e6a22	integral:51c7cb95decd38422c44283d0e6eb91ed616e9a348458fbd64a9bd2e0afef4b1	equivariant:293e7dab639ec2deeb5ea84fdc5190c1920d1931bf169fb1e8e163c50ee7db29	hodge_refined:073b6262d0c994c1c9fbeccb2fd1a17d11af7772187a6fd9e0706aa83908c1ed	SOURCE_ONLY	p3=8;p4_0=12;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0		1^16,4^3,12
239	S1_SOURCE_RECOMPUTED	ckc_fixed_rational_batch	Cynk--Kocel--Cynk 2026, Section 6.1	CLEAN_TWO_STRATUM	"{""l3"":0,""p3"":16,""p4_0"":10,""p4_1"":0,""p5_0"":0,""p5_1"":0,""p5_2"":0}"			24	26,28	26	21	2	0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,12	4,4	4,6,6,12	4,4,6,12	2,4,4,4,12	2,3	"{""2"":[1,2,2,2,2],""3"":[1]}"	local:d689892f18909ee09390855bbe914f1af6c790faa8afbdeeae9eeeb3010b5a61	rational:9d168feab7fd7642ecf30d07dacb9d15e40c068b5c91076c9135e77bc9b74af3	integral:6e71b52edeb7fb43a2d3c314484508c54ae48ffb13fe4d4236e29aabbd1f003c	equivariant:0d480f7fd07bcb080743f003b1309d6316290817ea1177055ea1514979fd13df	hodge_refined:e017f04add53cf4499d69a56e7484cc7ab7b8383174ff8b707f8986bd91940b3	SOURCE_ONLY	p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0		1^21,2,4^3,12
