ckc_id	claim_level_firewall	cynk_meyer_id	cynk_meyer_table_present	entity_level	equation_type	euler	explicit_nodal_conifold_link_present	h11	h12	hodge_table_present	hodgecy_universe_id	identity_resolution_status	local_inventory	operator_fibration_arithmetic_link_present	parameter_names	relationship_graph_hits_repo_local	source_assembly_present	source_extraction_status
1	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	1	YES	PRESENTATION	fixed_rational	136	NO	69	1	YES	ckc:1	presentation_level_only_geometry_identity_unresolved	p3=8;p4_0=0;p4_1=4;p5_0=0;p5_1=0;p5_2=4;l3=4	YES	[]	PRODUCTION_ROOT_NOT_AVAILABLE	YES	eight_plane_equation_or_family_available
2	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	2	YES	PARAMETERIZED_FAMILY	parameterized_family	140	NO	70	0	YES	ckc:2	presentation_level_only_geometry_identity_unresolved	p3=4;p4_0=1;p4_1=4;p5_0=0;p5_1=0;p5_2=4;l3=4	YES	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
3	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	3	YES	PRESENTATION	fixed_rational	112	NO	59	3	YES	ckc:3	presentation_level_only_geometry_identity_unresolved	p3=20;p4_0=0;p4_1=3;p5_0=0;p5_1=0;p5_2=3;l3=3	NO	[]	PRODUCTION_ROOT_NOT_AVAILABLE	YES	eight_plane_equation_or_family_available
4	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	4	YES	PARAMETERIZED_FAMILY	parameterized_family	116	NO	60	2	YES	ckc:4	presentation_level_only_geometry_identity_unresolved	p3=16;p4_0=1;p4_1=3;p5_0=0;p5_1=0;p5_2=3;l3=3	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
5	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	5	YES	PARAMETERIZED_FAMILY	parameterized_family	120	NO	61	1	YES	ckc:5	presentation_level_only_geometry_identity_unresolved	p3=12;p4_0=2;p4_1=3;p5_0=0;p5_1=0;p5_2=3;l3=3	YES	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
6	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	6	YES	PARAMETERIZED_FAMILY	parameterized_family	124	NO	62	0	YES	ckc:6	presentation_level_only_geometry_identity_unresolved	p3=8;p4_0=3;p4_1=3;p5_0=0;p5_1=0;p5_2=3;l3=3	YES	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
7	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	7	YES	PARAMETERIZED_FAMILY	parameterized_family	104	NO	55	3	YES	ckc:7	presentation_level_only_geometry_identity_unresolved	p3=16;p4_0=0;p4_1=7;p5_0=0;p5_1=0;p5_2=2;l3=3	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
8	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	8	YES	PARAMETERIZED_FAMILY	parameterized_family	108	NO	56	2	YES	ckc:8	presentation_level_only_geometry_identity_unresolved	p3=12;p4_0=1;p4_1=7;p5_0=0;p5_1=0;p5_2=2;l3=3	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
9	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	9	YES	PARAMETERIZED_FAMILY	parameterized_family	116	NO	60	2	YES	ckc:9	presentation_level_only_geometry_identity_unresolved	p3=13;p4_0=0;p4_1=5;p5_0=0;p5_1=1;p5_2=2;l3=3	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
10	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	10	YES	PARAMETERIZED_FAMILY	parameterized_family	112	NO	57	1	YES	ckc:10	presentation_level_only_geometry_identity_unresolved	p3=8;p4_0=2;p4_1=7;p5_0=0;p5_1=0;p5_2=2;l3=3	YES	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
