arrangement_id	classification	historical_factor_count	historical_field_absent	historical_has_parameters	new_parameter_symbols	new_raw_factor_count	new_source_field_absent
1	formatting_or_normalization_difference	8	True	False		8	False
2	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
3	formatting_or_normalization_difference	8	True	False		8	False
4	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
5	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
6	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
7	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
8	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
9	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
10	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
11	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
12	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
13	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
14	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
15	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
16	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
17	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
18	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
19	formatting_or_normalization_difference	8	True	False		8	False
20	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
21	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
22	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
23	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
24	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
25	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
26	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
27	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
28	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
29	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
30	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
31	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
32	formatting_or_normalization_difference	8	True	False		8	False
33	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
34	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
