arrangement_id	ast_status	canonical_eight_factors	coefficient_domain	parse_warnings	raw_equation	top_level_factor_count
1	parsed	"[""(x-y)"", ""x"", ""y"", ""(x+t)"", ""(y+t)"", ""(x-z)"", ""z"", ""(z+t)""]"	Q		(x - y)xy(x + t)(y + t)(x - z)z(z + t)	8
2	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+z)"", ""z"", ""(y+t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + z)z(y + t)t(x + y + z + t)	8
3	parsed	"[""t"", ""x"", ""(x+t)"", ""y"", ""(y+t)"", ""z"", ""(z+t)"", ""(x+y-z)""]"	Q		tx(x + t)y(y + t)z(z + t)(x + y - z)	8
4	parsed	"[""t"", ""x"", ""(x+t)"", ""y"", ""(y+t)"", ""z"", ""(z+t)"", ""(A0*x+A1*y+(-A0-A1)*z)""]"	Q(parameters)		tx(x + t)y(y + t)z(z + t)(A_{0}x + A_{1}y + (-A_{0} - A_{1})z)	8
5	parsed	"[""t"", ""x"", ""(x+t)"", ""y"", ""(y+t)"", ""z"", ""(z+t)"", ""(A0*x+A1*y-A1*z)""]"	Q(parameters)		tx(x + t)y(y + t)z(z + t)(A_{0}x + A_{1}y - A_{1}z)	8
6	parsed	"[""t"", ""x"", ""(x+t)"", ""y"", ""(y+t)"", ""z"", ""(z+t)"", ""(A0*x+A1*y+A2*z)""]"	Q(parameters)		tx(x + t)y(y + t)z(z + t)(A_{0}x + A_{1}y + A_{2}z)	8
7	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*z)"", ""z"", ""t"", ""(A0*x+A3*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}z)zt(A_{0}x + A_{3}t)(x + y + z + t)	8
8	parsed	"[""x"", ""(x-y)"", ""y"", ""z"", ""(A0*x+A1*z)"", ""(x+t)"", ""(y+t)"", ""(z+t)""]"	Q(parameters)		x(x - y)yz(A_{0}x + A_{1}z)(x + t)(y + t)(z + t)	8
9	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*z)"", ""(y+t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}z)(y + t)t(x + y + z + t)	8
10	parsed	"[""x"", ""y"", ""(x+y)"", ""z"", ""(A0*x+A1*z)"", ""t"", ""(A0*y+A1*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)z(A_{0}x + A_{1}z)t(A_{0}y + A_{1}t)(x + y + z + t)	8
