arrangement_id	authoritative_factor_count	authoritative_parse_status	canonical_signature_match	historical_factor_count	notes	refined_classification
1	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
2	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
3	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
4	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
5	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
6	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
7	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
8	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
9	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
10	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
11	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
12	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
13	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
14	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
15	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
16	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
17	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
18	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
19	8	STAGED_EXACT_8_FACTOR_PARSE	True	8		EXACT_CANONICAL_MATCH
20	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
21	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
22	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
23	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
24	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
25	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
26	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
27	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
28	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
29	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
30	8	STAGED_EXACT_8_FACTOR_PARSE	False	8		TEXT_ONLY_DIFFERENCE
