arrangement	artifact	artifact_type	originating_command	software	software_version	input_equation_hash	quartic_hash	claimed_result	machine_readable	reproducible	sufficient_for_status	evidence_state	notes
84	data/processed/smoothing_verification_84.json	processed_json	python scripts/verify_smoothing_bridge_84_84a.py --force	Python/SymPy	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	G1/G2 exact genericity; degree112_certified status with reducedness/Hessian pending	YES	YES	NO	REPRODUCIBLE_BUT_INCOMPLETE	Exact genericity is useful, but ordinary-node fields are null. file_sha256=d89353da6c976b316230ffda03f2ce4a63bdd40bca5a2de2330b43a26a81e995
84,84a	data/processed/cas_certificates/reviewer_v4_degree_outputs.json	processed_json	historical Singular modStd run	Singular	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	dim(cone)=1 and degree=112	YES	PARTIAL	NO	REPRODUCIBLE_BUT_INCOMPLETE	Backs degree only; not radicality/support/Hessian. file_sha256=448d4a2e2fa35c1baec8d465c165802a979691241d84dcb1809d230934f6649e
84	data/raw/hodgecy_v4_full/hodgecy_v4/scripts/nodes_q_84.sing	cas_script	Singular nodes_q_84.sing	Singular	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	char-0 degree computation input	YES	YES_IF_SINGULAR_AVAILABLE	NO	REPRODUCIBLE_BUT_INCOMPLETE	Script computes standard basis degree, not radicality or Hessian rank. file_sha256=9c35c6b395d44fb4eef66c120e5ef07dc152ebb00555a728f24828712abf42e8
84	data/raw/hodgecy_v4_full/hodgecy_v4/outputs/out84.txt	cas_output_log	Singular nodes_q_84.sing	Singular	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	dim(cone)=1 and degree=112	PARTIAL	YES_IF_SINGULAR_AVAILABLE	NO	REPRODUCIBLE_BUT_INCOMPLETE	Machine-parsable degree output, but incomplete for promotion. file_sha256=a91acc99ca536e5d7e03c1c5f7aabad19b89197bb7a955f83bca06e6daa5d156
84,84a	data/raw/hodgecy_v4_full/hodgecy_v4/scripts/nodes_84.sing	cas_script	Singular nodes_84.sing	Singular	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	expected support comparison route for 84	YES	UNKNOWN	NO	REPRODUCIBLE_BUT_INCOMPLETE	Only present for 84; output not bundled as certificate-grade equality/radical/Hessian data. file_sha256=1fd6d260d405fe723e01f731473a7b9947e81862c632be901997905335104747
84,84a	data/raw/updated-files/COMPUTATION_LOG.md	prose_log	historical manual computation log	mixed	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	ordinary-node and defect completion claimed in prose	NO	NO	NO	LOG_ONLY	Stronger than committed status; reconciled as log-only for reducedness/Hessian. file_sha256=ec7182c4e35376232447a1b0d1d6ab1504963f1280d2828868e0f21549ddee0b
84,84a	data/raw/updated-files/hodgecy_v4_inserts.tex	manuscript_insert	historical manuscript draft	none	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	verified node theorem draft	NO	NO	NO	LOG_ONLY	Mathematical prose cannot replace certificate-grade CAS artifacts. file_sha256=cf4826b04537d424eb6d95595a5a61bd62fcfa5485eff5b2f4ee159f9e6a4c11
84	release/hodgecy-v0.2.0/arrangements/84/theorem_summary.json	release_json	python scripts/build_v0_2_0_release.py	Python	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	degree112_certified; ordinary_node_verified=false	YES	YES	NO	REPRODUCIBLE_BUT_INCOMPLETE	Canonical released status explicitly blocks ordinary-node promotion. file_sha256=e8e798249be7a12a9ff2642119aa1116a116ce82efa5870aa7a18c156cef7540
84,84a	singular/smoothing_bridge_node_check.sing	template	not executed	Singular	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	none	YES	NO_OUTPUT	NO	UNKNOWN	Handoff template only. file_sha256=1527f8fbfec4ddb01bfc49a2ca2a9f1d344250cc617f0fdd6660266306ebe9ca
84,84a	m2/smoothing_bridge_node_check.m2	template	not executed	Macaulay2	unavailable_in_current_environment	6532d39fe05eba1e3af8a2bfc763f6102ed9523ccae6e4fefedfed530c646f4d	bb1fcf62cad3f791a0b52cacaa429d3fb6087a5d5e2f2a57861205deef556cb8	none	YES	NO_OUTPUT	NO	UNKNOWN	Handoff template only. file_sha256=871d7d8c171444c2bf8a19e4138b0e6d2f6a1d1c2e62ebf21562cbc31b314b50
