dataset_id	route_type	route_id	traversal_test	status	notes
aesz_cydb_remote	remote_or_registry	https://cydb.mathematik.uni-mainz.de/	registered_pointer	OK	remote/native pointer registered
aps_gcicy_type21_supplements	query_table	wave4_aps_gcicy_native_source_manifest	head(1):source_record_id	OK	rows=1;estimated=2
borcea_voisin_source_registry	remote_or_registry	https://arxiv.org/search/?query=Borcea+Voisin+Calabi-Yau+database&searchtype=all;urn:hodgecy:wave3:borcea-voisin-source-registry	registered_pointer	OK	remote/native pointer registered
cicy3_discrete_symmetries_orientifolds	physical_source	raw/cicy3_symmetries/favourable_cicy_orientifold_generator.zip;raw/cicy3_symmetries/non_favourable_orientifolds.zip	path_exists	OK	checked 2 local path(s)
cicy3_divisor_configs_orientifold	query_table	current_cicy3_divisor_config_manifest	head(1):source_record_id	OK	rows=1;estimated=7821
cicy3_divisor_topology_springer	metadata_only	cicy3_divisor_topology_springer	descriptor_present	OK	source-registry/computable dataset has no local table
cicy3_divisors_springer	physical_source	raw/cicy3_divisors/13130_2022_18389_MOESM1_ESM.zip	path_exists	OK	checked 1 local path(s)
cicy3_favorable	query_table	current_cicy3_favorable	head(1):source_record_id	OK	rows=1;estimated=7890
cicy3_fibrations	query_table	current_cicy3_fibrations	head(1):source_record_id	OK	rows=1;estimated=139597
cicy3_orientifold_discrete_symmetry	metadata_only	cicy3_orientifold_discrete_symmetry	descriptor_present	OK	source-registry/computable dataset has no local table
cicy3_orientifolds_favourable	query_table	current_cicy3_orientifold_manifest	head(1):source_record_id	OK	rows=1;estimated=7820
cicy3_quotient_fibrations	query_table	current_cicy3_quotient_fibrations	head(1):source_record_id	OK	rows=1;estimated=20700
cicy3_quotients	query_table	current_cicy3_free_actions	head(1):source_record_id	OK	rows=1;estimated=1695
cicy3_standard	query_table	current_cicy3_standard	head(1):source_record_id	OK	rows=1;estimated=7890
cicy3_thraxion_candidates	query_table	current_cicy3_thraxion_candidate_manifest	head(1):source_record_id	OK	rows=1;estimated=1
cicy3_thraxion_transitions	query_table	current_cicy3_thraxion_transition_manifest	head(1):source_record_id	OK	rows=1;estimated=1
cicy4_core	query_table	current_cicy4_core	head(1):source_record_id	OK	rows=1;estimated=921497
cicy4_fibrations	query_table	current_cicy4_fibration_member_ranges	head(1):source_record_id	OK	rows=1;estimated=297
cicy_divisor_topologies_cms_2022	query_table	wave4_cicy_divisor_topology_divisors	head(1):source_record_id	OK	rows=1;estimated=57885
cicy_gv_invariants_desy	query_table	wave2_cicy_gv_source_integrity	head(1):source_archive	OK	rows=1;estimated=1
cicy_gv_invariants_desy_h11_9_repair	physical_source	raw/cicy_gv_invariants_desy/CICY-H11=9.zip	path_exists	OK	checked 1 local path(s)
current_corpus_relationships	query_table	current_corpus_relationships	head(1):relationship_id	OK	rows=1;estimated=175928
cytools_source_registry	remote_or_registry	https://github.com/LiamMcAllisterGroup/cytools	registered_pointer	OK	remote/native pointer registered
cytools_toric_computable_capability	remote_or_registry	https://github.com/LiamMcAllisterGroup/cytools	registered_pointer	OK	remote/native pointer registered
double_octics	metadata_only	double_octics	descriptor_present	OK	source-registry/computable dataset has no local table
double_octics_external	physical_source	raw/double_octics/cynk_kocel_cynk_2602.19413.pdf;raw/double_octics/cynk_meyer_math.AG-0304121.pdf	path_exists	OK	checked 2 local path(s)
explicit_nodal_conifold_corpus	metadata_only	explicit_nodal_conifold_corpus	descriptor_present	OK	source-registry/computable dataset has no local table
