dataset_id	expected_completion_class	catalog_present	manifest_present	physical_backing_resolved	query_table_present	source_instances	expected_or_manifest_count	actual_or_metadata_count	traversal_test	status	notes
aesz_cydb_remote	COMPLETE_REMOTE	YES	NO	YES	NO	1		0	registered_pointer	OK	remote/native pointer registered
aps_gcicy_type21_supplements	COMPLETE_NATIVE_SOURCE	YES	NO	YES	YES	2		2	head(1):source_record_id	OK	rows=1;estimated=2
borcea_voisin_source_registry	SOURCE_REGISTRY_ONLY	YES	NO	YES	NO	2		0	registered_pointer	OK	remote/native pointer registered
cicy3_discrete_symmetries_orientifolds	COMPLETE_NATIVE_LAZY	YES	NO	YES	NO	1		0	path_exists	OK	checked 2 local path(s)
cicy3_divisor_configs_orientifold	COMPLETE_NORMALIZED	YES	YES	YES	YES	2	7821	7821	head(1):source_record_id	OK	rows=1;estimated=7821
cicy3_divisor_topology_springer	COMPLETE_NORMALIZED	YES	NO	NO	NO	1	7820	7820	descriptor_present	OK	source-registry/computable dataset has no local table
cicy3_divisors_springer	MANUAL_SOURCE_REQUIRED	YES	YES	YES	NO	1		0	path_exists	OK	checked 1 local path(s)
cicy3_favorable	COMPLETE_NORMALIZED	YES	YES	YES	YES	2	7820	7820	head(1):source_record_id	OK	rows=1;estimated=7890
cicy3_fibrations	COMPLETE_NORMALIZED	YES	YES	YES	YES	2	139597	139597	head(1):source_record_id	OK	rows=1;estimated=139597
cicy3_orientifold_discrete_symmetry	COMPLETE_NATIVE_LAZY	YES	NO	NO	NO	1		0	descriptor_present	OK	source-registry/computable dataset has no local table
cicy3_orientifolds_favourable	COMPLETE_NORMALIZED	YES	YES	YES	YES	2	7820	7820	head(1):source_record_id	OK	rows=1;estimated=7820
cicy3_quotient_fibrations	COMPLETE_NORMALIZED	YES	NO	YES	YES	2	20700	20700	head(1):source_record_id	OK	rows=1;estimated=20700
cicy3_quotients	COMPLETE_NORMALIZED	YES	YES	YES	YES	3	1695	1695	head(1):source_record_id	OK	rows=1;estimated=1695
cicy3_standard	COMPLETE_NORMALIZED	YES	YES	YES	YES	2	7890	7890	head(1):source_record_id	OK	rows=1;estimated=7890
cicy3_thraxion_candidates	COMPLETE_NORMALIZED	YES	YES	YES	YES	2	1	1	head(1):source_record_id	OK	rows=1;estimated=1
cicy3_thraxion_transitions	COMPLETE_NORMALIZED	YES	YES	YES	YES	2	1	1	head(1):source_record_id	OK	rows=1;estimated=1
cicy4_core	COMPLETE_NORMALIZED	YES	YES	YES	YES	2	921497	921497	head(1):source_record_id	OK	rows=1;estimated=921497
cicy4_fibrations	COMPLETE_NATIVE_LAZY	YES	YES	YES	YES	2	921497	921497	head(1):source_record_id	OK	rows=1;estimated=297
cicy_divisor_topologies_cms_2022	COMPLETE_NORMALIZED	YES	NO	YES	YES	3	7820	7820	head(1):source_record_id	OK	rows=1;estimated=57885
cicy_gv_invariants_desy	COMPLETE_COLUMNAR	YES	NO	YES	YES	2	99515615	99515616	head(1):source_archive	OK	rows=1;estimated=1
cicy_gv_invariants_desy_h11_9_repair	SOURCE_CORRUPT	YES	NO	YES	NO	2		0	path_exists	OK	checked 1 local path(s)
current_corpus_relationships	COMPLETE_RELATIONSHIP	YES	NO	YES	YES	1	175928	175928	head(1):relationship_id	OK	rows=1;estimated=175928
cytools_source_registry	SOURCE_REGISTRY_ONLY	YES	NO	YES	NO	1		0	registered_pointer	OK	remote/native pointer registered
cytools_toric_computable_capability	COMPUTABLE_NOT_PREENUMERATED	YES	NO	YES	NO	1		0	registered_pointer	OK	remote/native pointer registered
double_octics	PARTIAL_PUBLIC_CORPUS	YES	NO	NO	NO	1		0	descriptor_present	OK	source-registry/computable dataset has no local table
double_octics_external	PARTIAL_PUBLIC_CORPUS	YES	YES	YES	NO	1		0	path_exists	OK	checked 2 local path(s)
explicit_nodal_conifold_corpus	PARTIAL_PUBLIC_CORPUS	YES	NO	NO	NO	1		0	descriptor_present	OK	source-registry/computable dataset has no local table
gcicy_fake_weighted	COMPLETE_NORMALIZED	YES	YES	YES	YES	2	1752	1752	head(1):source_record_id	OK	rows=1;estimated=1752
gcicy_ml_cui_gao_wang_2023	MANUAL_SOURCE_REQUIRED	YES	NO	YES	NO	1		0	registered_pointer	OK	remote/native pointer registered
