instance_id	dataset_id	source_version	storage_location_or_pointer	acquisition_state	record_count_metadata	readable_or_resolvable_status	notes	status
aesz_cydb_remote_wave2_disposition	aesz_cydb_remote	remote database	https://cydb.mathematik.uni-mainz.de/	COMPLETE_REMOTE		YES	physical_or_columnar_backing_registered	OK
aps_gcicy_type21_supplements_wave3_disposition	aps_gcicy_type21_supplements	10.1103/PhysRevD.107.086004	https://journals.aps.org/prd/supplemental/10.1103/PhysRevD.107.086004	MANUAL_SOURCE_REQUIRED		YES	physical_or_columnar_backing_registered	OK
aps_gcicy_type21_supplements_wave4_native_source	aps_gcicy_type21_supplements	10.1103/PhysRevD.107.086004	raw/wave4_aps_gcicy_type21_supplements/g21N5.mx;raw/wave4_aps_gcicy_type21_supplements/g21N6.mx;normalized/wave4/aps_gcicy_type21_supplements/native_source_manifest.parquet;https://journals.aps.org/prd/supplemental/10.1103/PhysRevD.107.086004/g21N5.mx;https://journals.aps.org/prd/supplemental/10.1103/PhysRevD.107.086004/g21N6.mx	COMPLETE_NATIVE_SOURCE		YES	physical_or_columnar_backing_registered	OK
borcea_voisin_source_registry_wave2_disposition	borcea_voisin_source_registry	source-only search	https://arxiv.org/search/?query=Borcea+Voisin+Calabi-Yau+database&searchtype=all	SOURCE_REGISTRY_ONLY		YES	physical_or_columnar_backing_registered	OK
borcea_voisin_source_registry_wave3_disposition	borcea_voisin_source_registry		urn:hodgecy:wave3:borcea-voisin-source-registry	SOURCE_REGISTRY_ONLY		YES	physical_or_columnar_backing_registered	OK
cicy3_discrete_symmetries_orientifolds_current	cicy3_discrete_symmetries_orientifolds	COMPLETE	raw/cicy3_symmetries/favourable_cicy_orientifold_generator.zip;raw/cicy3_symmetries/non_favourable_orientifolds.zip	COMPLETE_LOCAL		YES	physical_or_columnar_backing_registered	OK
cicy3_divisor_configs_orientifold_current	cicy3_divisor_configs_orientifold	COMPLETE	raw/cicy3_symmetries/DivisorConfigs.zip	COMPLETE_LOCAL		YES	physical_or_columnar_backing_registered	OK
cicy3_divisor_configs_orientifold_current_cicy3_divisor_config_manifest_normalized	cicy3_divisor_configs_orientifold	normalized_source_rows.v1	normalized/current_corpus/cicy3_divisor_configs_orientifold/current_cicy3_divisor_config_manifest.parquet	COMPLETE_COLUMNAR	7821	YES	physical_or_columnar_backing_registered	OK
cicy3_divisor_topology_springer_current	cicy3_divisor_topology_springer	MANUAL_SOURCE_REQUIRED		MANUAL_SOURCE_REQUIRED	57885	YES	descriptor_only_native_remote_manual_or_partial_route_registered	OK
cicy3_divisors_springer_current	cicy3_divisors_springer	COMPLETE	raw/cicy3_divisors/13130_2022_18389_MOESM1_ESM.zip	COMPLETE_LOCAL		YES	physical_or_columnar_backing_registered	OK
