table_id	table_name	table_kind	schema_columns	metadata_row_count	minimal_query	count_or_metadata_count	lazy_route	status	notes
current_cicy3_divisor_config_manifest	current_cicy3_divisor_config_manifest	source	11	7821	head(1):source_record_id	7821	pyarrow.dataset	OK	rows=1;estimated=7821
current_cicy3_favorable	current_cicy3_favorable	normalized	16	7890	head(1):source_record_id	7890	pyarrow.dataset	OK	rows=1;estimated=7890
current_cicy3_fibrations	current_cicy3_fibrations	fibration	13	139597	head(1):source_record_id	139597	pyarrow.dataset	OK	rows=1;estimated=139597
current_cicy3_free_actions	current_cicy3_free_actions	normalized	14	1695	head(1):source_record_id	1695	pyarrow.dataset	OK	rows=1;estimated=1695
current_cicy3_orientifold_manifest	current_cicy3_orientifold_manifest	source	11	7820	head(1):source_record_id	7820	pyarrow.dataset	OK	rows=1;estimated=7820
current_cicy3_quotient_fibrations	current_cicy3_quotient_fibrations	fibration	15	20700	head(1):source_record_id	20700	pyarrow.dataset	OK	rows=1;estimated=20700
current_cicy3_quotient_parent_blocks	current_cicy3_quotient_parent_blocks	normalized	12	195	head(1):source_record_id	195	pyarrow.dataset	OK	rows=1;estimated=195
current_cicy3_standard	current_cicy3_standard	normalized	18	7890	head(1):source_record_id	7890	pyarrow.dataset	OK	rows=1;estimated=7890
current_cicy3_thraxion_candidate_manifest	current_cicy3_thraxion_candidate_manifest	source	11	1	head(1):source_record_id	1	pyarrow.dataset	OK	rows=1;estimated=1
current_cicy3_thraxion_transition_manifest	current_cicy3_thraxion_transition_manifest	source	11	1	head(1):source_record_id	1	pyarrow.dataset	OK	rows=1;estimated=1
current_cicy4_core	current_cicy4_core	normalized	19	921497	head(1):source_record_id	921497	pyarrow.dataset	OK	rows=1;estimated=921497
current_cicy4_fibration_member_ranges	current_cicy4_fibration_member_ranges	source	15	297	head(1):source_record_id	297	pyarrow.dataset	OK	rows=1;estimated=297
current_corpus_relationships	current_corpus_relationships	relationship	11	175928	head(1):relationship_id	175928	pyarrow.dataset	OK	rows=1;estimated=175928
current_cyo_operators	current_cyo_operators	normalized	10	613	head(1):operator_id	613	pyarrow.dataset	OK	rows=1;estimated=613
current_cyo_topological	current_cyo_topological	normalized	9	584	head(1):operator_id	584	pyarrow.dataset	OK	rows=1;estimated=584
current_gcicy_fake_weighted	current_gcicy_fake_weighted	normalized	6	1752	head(1):source_record_id	1752	pyarrow.dataset	OK	rows=1;estimated=1752
current_ip_weight_systems_4d	current_ip_weight_systems_4d	normalized	17	184026	head(1):source_record_id	184026	pyarrow.dataset	OK	rows=1;estimated=184026
current_weighted_p4	current_weighted_p4	normalized	13	7555	head(1):source_record_id	7555	pyarrow.dataset	OK	rows=1;estimated=7555
kreuzer_skarke	kreuzer_skarke	source	8	473800776	head(1):vertex_count	473800776	pyarrow.dataset	OK	rows=1;estimated=473800776
wave2_cicy_gv_invariants	wave2_cicy_gv_invariants	normalized	17	99515615	head(1):parent_cicy_id	99515615	pyarrow.dataset	OK	rows=1;estimated=99515615
wave2_cicy_gv_source_integrity	wave2_cicy_gv_source_integrity	source	13	1	head(1):source_archive	1	pyarrow.dataset	OK	rows=1;estimated=1
wave2_ks_orientifold_release_assets	wave2_ks_orientifold_release_assets	source	8	135	head(1):dataset_id	135	pyarrow.dataset	OK	rows=1;estimated=135
wave2_source_relationships	wave2_source_relationships	relationship	11	5523	head(1):relationship_id	5523	pyarrow.dataset	OK	rows=1;estimated=5523
wave2_toric_ks_fibration_remote_files	wave2_toric_ks_fibration_remote_files	source	9	5	head(1):dataset_id	5	pyarrow.dataset	OK	rows=1;estimated=5
wave3_partialflagvarieties_grassmannian_cy3_table1	wave3_partialflagvarieties_grassmannian_cy3_table1	normalized	20	31	head(1):source_record_id	31	pyarrow.dataset	OK	rows=1;estimated=31
wave3_source_relationships	wave3_source_relationships	normalized	11	78	head(1):relationship_id	78	pyarrow.dataset	OK	rows=1;estimated=78
wave3_twoparameterk3_models	wave3_twoparameterk3_models	normalized	22	39	head(1):source_record_id	39	pyarrow.dataset	OK	rows=1;estimated=39
wave4_aps_gcicy_native_source_manifest	wave4_aps_gcicy_native_source_manifest	native_source_manifest	12	2	head(1):source_record_id	2	pyarrow.dataset	OK	rows=1;estimated=2
wave4_cicy_divisor_topology_divisors	wave4_cicy_divisor_topology_divisors	normalized_child	14	57885	head(1):source_record_id	57885	pyarrow.dataset	OK	rows=1;estimated=57885
wave4_cicy_divisor_topology_parent_records	wave4_cicy_divisor_topology_parent_records	normalized	13	7820	head(1):source_record_id	7820	pyarrow.dataset	OK	rows=1;estimated=7820
wave4_source_relationships	wave4_source_relationships	relationships	8	65714	head(1):relationship_id	65714	pyarrow.dataset	OK	rows=1;estimated=65714
wave4_toriccy_asset_index	wave4_toriccy_asset_index	native_lazy_asset_index	14	7	head(1):source_record_id	7	pyarrow.dataset	OK	rows=1;estimated=7
