assembly_computation_status	assembly_equivariant_fingerprint	assembly_integral_fingerprint	assembly_rational_fingerprint	automorphism_group_order	ckc_equation_type	ckc_has_parameters	ckc_id	ckc_source_extraction_status	ckc_validation_tier	claim_level_firewall	cokernel_dim_Q	corpus_release_fingerprint	cynk_meyer_id	double_line_orbit_sizes	entity_level	equivariant_signature	hodge	hodge_signature	identity_resolution_status	integral_signature	kernel_dim_Q	local_inventory	local_signature	matrix_hash	matrix_path	matrix_status	multiple_point_orbit_sizes	plane_orbit_sizes	presentation_id	presentation_kind	rank_F2	rank_Q	rational_signature	smith_normal_form	smith_normal_form_compact	source_assembly_available	source_blocker	torsion_invariant_factors	torsion_primes	universe_id
computed_exact_two_stratum_source_assembly	equivariant:014f15ea11c68a49a98cd1e6000e99fee2094b7e4382a6593d9134bc46f92802	integral:8cdc9399d310ad8e8dd4f75d687c9868f55a22d0b6d006fcb9493c8911301937	rational:4dba73752abbd81deea1c4721ac44047dc25c830e88bda5ff9ceb9fe01857c72	8	fixed_rational	NO	1	extracted	S2_HODGE_TABLE_LINKED	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE	0	8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	1	[2,2,4,8]	PRESENTATION	equivariant:32db49e8c9632c4c9fc2b9c7f1c0e03ae0bf321bb2e26d75150878c470d458fc	"{""euler"":136,""h11"":69,""h12"":1}"	h12=1;h11=69;euler=136	presentation_level_only_geometry_identity_unresolved	integral:4d225cdb5725ecaee63cce795400856a7b432d47084752f31d4525092ea46038	3	"{""l3"":4,""p3"":4,""p4_0"":5,""p4_1"":0,""p5_0"":4,""p5_1"":0,""p5_2"":0}"	p3=4;p4_0=5;p4_1=0;p5_0=4;p5_1=0;p5_2=0;l3=4	cf71f4731dbe69fb4bab32f131a7b4fba2324718581ce16a52584cd262cc2f6e	research_outputs/hodgecy_ii/source_assembly_deep_dive/all_456_source_assembly_matrices/source_assembly_matrix_1.json	stored_exact_integer_incidence_matrix	[1,4,4,4]	[4,4]	1	eight_plane_arrangement_fixed_candidate	11	13	rational:5bf29b1d5c98a4473ceb1e1952a83d91a5c599525e668dd8cb1a9ffaddd0dc20	[1,1,1,1,1,1,1,1,1,1,1,2,12]	1^11,2,12	True		[2,12]	[2,3]	ckc:1
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	2	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	2		PARAMETERIZED_FAMILY		"{""euler"":140,""h11"":70,""h12"":0}"	h12=0;h11=70;euler=140	presentation_level_only_geometry_identity_unresolved			"{""l3"":4,""p3"":4,""p4_0"":1,""p4_1"":4,""p5_0"":0,""p5_1"":0,""p5_2"":4}"	p3=4;p4_0=1;p4_1=4;p5_0=0;p5_1=0;p5_2=4;l3=4			not_applicable_uncomputed			2	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:2
computed_exact_two_stratum_source_assembly	equivariant:fa36adea3502b44ff5542f7b19f5f31b2fa1842c8220179a7a22473f2c0404b8	integral:ff57b7cf10e8e2c3b0b888a210d7cd89aa157d6f53889cddd9740186d7f6724a	rational:f130d29e4c4d5489b9da64fb9d4d1a777fbcba08f8b21362d620c285d10478a5	6	fixed_rational	NO	3	extracted	S2_HODGE_TABLE_LINKED	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE	1	8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	3	[1,3,3,3,3,6]	PRESENTATION	equivariant:ecb7443775ce0e762906bf096ad6c09d8369c788dfc8ab5181a71244d06917ae	"{""euler"":112,""h11"":59,""h12"":3}"	h12=3;h11=59;euler=112	presentation_level_only_geometry_identity_unresolved	integral:aa53ecd6eda9e927b6e6a27d3e76a434689bff2dfc5f764ec7ac8e21de16db49	3	"{""l3"":3,""p3"":8,""p4_0"":6,""p4_1"":0,""p5_0"":3,""p5_1"":0,""p5_2"":0}"	p3=8;p4_0=6;p4_1=0;p5_0=3;p5_1=0;p5_2=0;l3=3	5c168527184a52d7eab79e7912bfab3374adb207cf0f42896f302217b3b7574e	research_outputs/hodgecy_ii/source_assembly_deep_dive/all_456_source_assembly_matrices/source_assembly_matrix_3.json	stored_exact_integer_incidence_matrix	[1,1,3,3,3,3,3]	[1,1,3,3]	3	eight_plane_arrangement_fixed_candidate	13	16	rational:8b9149bbf87b0464d7b55bd2df6ae5cca79a761480b0f61dc81a592ec57bfb23	[1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,12]	1^13,2^2,12	True		[2,2,12]	[2,3]	ckc:3
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	4	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	4		PARAMETERIZED_FAMILY		"{""euler"":116,""h11"":60,""h12"":2}"	h12=2;h11=60;euler=116	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":16,""p4_0"":1,""p4_1"":3,""p5_0"":0,""p5_1"":0,""p5_2"":3}"	p3=16;p4_0=1;p4_1=3;p5_0=0;p5_1=0;p5_2=3;l3=3			not_applicable_uncomputed			4	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:4
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	5	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	5		PARAMETERIZED_FAMILY		"{""euler"":120,""h11"":61,""h12"":1}"	h12=1;h11=61;euler=120	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":12,""p4_0"":2,""p4_1"":3,""p5_0"":0,""p5_1"":0,""p5_2"":3}"	p3=12;p4_0=2;p4_1=3;p5_0=0;p5_1=0;p5_2=3;l3=3			not_applicable_uncomputed			5	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:5
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	6	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	6		PARAMETERIZED_FAMILY		"{""euler"":124,""h11"":62,""h12"":0}"	h12=0;h11=62;euler=124	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":8,""p4_0"":3,""p4_1"":3,""p5_0"":0,""p5_1"":0,""p5_2"":3}"	p3=8;p4_0=3;p4_1=3;p5_0=0;p5_1=0;p5_2=3;l3=3			not_applicable_uncomputed			6	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:6
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	7	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	7		PARAMETERIZED_FAMILY		"{""euler"":104,""h11"":55,""h12"":3}"	h12=3;h11=55;euler=104	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":16,""p4_0"":0,""p4_1"":7,""p5_0"":0,""p5_1"":0,""p5_2"":2}"	p3=16;p4_0=0;p4_1=7;p5_0=0;p5_1=0;p5_2=2;l3=3			not_applicable_uncomputed			7	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:7
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	8	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	8		PARAMETERIZED_FAMILY		"{""euler"":108,""h11"":56,""h12"":2}"	h12=2;h11=56;euler=108	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":12,""p4_0"":1,""p4_1"":7,""p5_0"":0,""p5_1"":0,""p5_2"":2}"	p3=12;p4_0=1;p4_1=7;p5_0=0;p5_1=0;p5_2=2;l3=3			not_applicable_uncomputed			8	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:8
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	9	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	9		PARAMETERIZED_FAMILY		"{""euler"":116,""h11"":60,""h12"":2}"	h12=2;h11=60;euler=116	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":13,""p4_0"":0,""p4_1"":5,""p5_0"":0,""p5_1"":1,""p5_2"":2}"	p3=13;p4_0=0;p4_1=5;p5_0=0;p5_1=1;p5_2=2;l3=3			not_applicable_uncomputed			9	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:9
unresolved_source_parameter_constraints_missing_from_local_payload					parameterized	YES	10	extracted	S0_UNVALIDATED_SOURCE_RECORD	SOURCE_PRESENTATION_PAIRWISE_COMPARISON_NOT_GEOMETRY_COLLAPSE		8bbf1dff732529afb634f4a24c1d250d3e7ff3a54c79cbfd9c3584e4bca1622b	10		PARAMETERIZED_FAMILY		"{""euler"":112,""h11"":57,""h12"":1}"	h12=1;h11=57;euler=112	presentation_level_only_geometry_identity_unresolved			"{""l3"":3,""p3"":8,""p4_0"":2,""p4_1"":7,""p5_0"":0,""p5_1"":0,""p5_2"":2}"	p3=8;p4_0=2;p4_1=7;p5_0=0;p5_1=0;p5_2=2;l3=3			not_applicable_uncomputed			10	eight_plane_arrangement_family						False	The software can parse and test the symbolic family, but the local CKC payload does not include the parameter ideal/excluded loci needed to recover the classified incidence table.			ckc:10
