arrangement_id	assembly_status	delta_euler_from_previous_sequence	delta_h11_from_previous_sequence	delta_h12_from_previous_sequence	hodge	hodge_signature	local_signature	requested_fiber	sequence_index	source_blocker
78	blocked_parameterized_family_requires_specialization				"{""euler"":64,""h11"":35,""h12"":3}"	h12=3;h11=35;euler=64	p3=32;p4_0=6;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	78/79	1	The source record is parameterized; generic/source-specialized incidence is not promoted as a single exact source complex.
79	blocked_parameterized_family_requires_specialization	0	1	1	"{""euler"":64,""h11"":36,""h12"":4}"	h12=4;h11=36;euler=64	p3=32;p4_0=6;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	78/79	2	The source record is parameterized; generic/source-specialized incidence is not promoted as a single exact source complex.
80	blocked_parameterized_family_requires_specialization	4	1	-1	"{""euler"":68,""h11"":37,""h12"":3}"	h12=3;h11=37;euler=68	p3=28;p4_0=7;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	80/455	3	The source record is parameterized; generic/source-specialized incidence is not promoted as a single exact source complex.
81	blocked_parameterized_family_requires_specialization	4	1	-1	"{""euler"":72,""h11"":38,""h12"":2}"	h12=2;h11=38;euler=72	p3=24;p4_0=8;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	81/454	4	The source record is parameterized; generic/source-specialized incidence is not promoted as a single exact source complex.
82	blocked_parameterized_family_requires_specialization	4	1	-1	"{""euler"":76,""h11"":39,""h12"":1}"	h12=1;h11=39;euler=76	p3=20;p4_0=9;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	82/245/452/453	5	The source record is parameterized; generic/source-specialized incidence is not promoted as a single exact source complex.
83	blocked_parameterized_family_requires_specialization	4	2	0	"{""euler"":80,""h11"":41,""h12"":1}"	h12=1;h11=41;euler=80	p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	83/84/84a/239/240/241	6	The source record is parameterized; generic/source-specialized incidence is not promoted as a single exact source complex.
84	computed_exact_two_stratum_source_assembly	0	-1	-1	"{""euler"":80,""h11"":40,""h12"":0}"	h12=0;h11=40;euler=80	p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	83/84/84a/239/240/241	7	
84a	computed_exact_two_stratum_source_assembly	0	0	0	"{""euler"":80,""h11"":40,""h12"":0}"	h12=0;h11=40;euler=80	p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	83/84/84a/239/240/241	8	
85	blocked_parameterized_family_requires_specialization	8	4	0	"{""euler"":88,""h11"":44,""h12"":0}"	h12=0;h11=44;euler=88	p3=8;p4_0=12;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	85/238	9	The source record is parameterized; generic/source-specialized incidence is not promoted as a single exact source complex.
238	computed_exact_two_stratum_source_assembly				{}		p3=8;p4_0=12;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	85/238	10	
239	computed_exact_two_stratum_source_assembly				{}		p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	83/84/84a/239/240/241	11	
240	computed_exact_two_stratum_source_assembly				{}		p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	83/84/84a/239/240/241	12	
241	computed_exact_two_stratum_source_assembly				{}		p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	83/84/84a/239/240/241	13	
245	computed_exact_two_stratum_source_assembly				{}		p3=20;p4_0=9;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	82/245/452/453	14	
451	blocked_partial_or_problematic_source_extraction				"{""euler"":92,""h11"":46,""h12"":0}"	h12=0;h11=46;euler=92	p3=13;p4_0=6;p4_1=3;p5_0=0;p5_1=1;p5_2=0;l3=1	61/451	15	CKC extraction is partial/problematic; no exact eight-plane source structure is promoted.
452	blocked_exact_quadratic_field_coefficients_not_supported	-16	-8	0	"{""euler"":76,""h11"":38,""h12"":0}"	h12=0;h11=38;euler=76	p3=20;p4_0=9;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	82/245/452/453	16	The current exact reconstruction path supports rational coefficients; this row requires quadratic-field coefficient support.
453	blocked_exact_quadratic_field_coefficients_not_supported	0	0	0	"{""euler"":76,""h11"":38,""h12"":0}"	h12=0;h11=38;euler=76	p3=20;p4_0=9;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	82/245/452/453	17	The current exact reconstruction path supports rational coefficients; this row requires quadratic-field coefficient support.
454	blocked_parameterized_family_requires_specialization	-4	-1	1	"{""euler"":72,""h11"":37,""h12"":1}"	h12=1;h11=37;euler=72	p3=24;p4_0=8;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	81/454	18	The source record is parameterized; generic/source-specialized incidence is not promoted as a single exact source complex.
455	blocked_parameterized_family_requires_specialization	-4	-1	1	"{""euler"":68,""h11"":36,""h12"":2}"	h12=2;h11=36;euler=68	p3=28;p4_0=7;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0	80/455	19	The source record is parameterized; generic/source-specialized incidence is not promoted as a single exact source complex.
