source_generator_id	target_block_id	planes	degree	status
L01	84:L01:Q0	['p1', 'p2']	4	VERIFIED
L02	84:L02:Q0	['p1', 'p3']	4	VERIFIED
L03	84:L03:Q0	['p1', 'p4']	4	VERIFIED
L04	84:L04:Q0	['p1', 'p5']	4	VERIFIED
L05	84:L05:Q0	['p1', 'p6']	4	VERIFIED
L06	84:L06:Q0	['p1', 'p7']	4	VERIFIED
L07	84:L07:Q0	['p1', 'p8']	4	VERIFIED
L08	84:L08:Q0	['p2', 'p3']	4	VERIFIED
L09	84:L09:Q0	['p2', 'p4']	4	VERIFIED
L10	84:L10:Q0	['p2', 'p5']	4	VERIFIED
L11	84:L11:Q0	['p2', 'p6']	4	VERIFIED
L12	84:L12:Q0	['p2', 'p7']	4	VERIFIED
L13	84:L13:Q0	['p2', 'p8']	4	VERIFIED
L14	84:L14:Q0	['p3', 'p4']	4	VERIFIED
L15	84:L15:Q0	['p3', 'p5']	4	VERIFIED
L16	84:L16:Q0	['p3', 'p6']	4	VERIFIED
L17	84:L17:Q0	['p3', 'p7']	4	VERIFIED
L18	84:L18:Q0	['p3', 'p8']	4	VERIFIED
L19	84:L19:Q0	['p4', 'p5']	4	VERIFIED
L20	84:L20:Q0	['p4', 'p6']	4	VERIFIED
L21	84:L21:Q0	['p4', 'p7']	4	VERIFIED
L22	84:L22:Q0	['p4', 'p8']	4	VERIFIED
L23	84:L23:Q0	['p5', 'p6']	4	VERIFIED
L24	84:L24:Q0	['p5', 'p7']	4	VERIFIED
L25	84:L25:Q0	['p5', 'p8']	4	VERIFIED
L26	84:L26:Q0	['p6', 'p7']	4	VERIFIED
L27	84:L27:Q0	['p6', 'p8']	4	VERIFIED
L28	84:L28:Q0	['p7', 'p8']	4	VERIFIED
