source_generator_id	target_block_id	planes	degree	status
L01	84a:L01:Q0	['p1', 'p2']	4	VERIFIED
L02	84a:L02:Q0	['p1', 'p3']	4	VERIFIED
L03	84a:L03:Q0	['p1', 'p4']	4	VERIFIED
L04	84a:L04:Q0	['p1', 'p5']	4	VERIFIED
L05	84a:L05:Q0	['p1', 'p6']	4	VERIFIED
L06	84a:L06:Q0	['p1', 'p7']	4	VERIFIED
L07	84a:L07:Q0	['p1', 'p8']	4	VERIFIED
L08	84a:L08:Q0	['p2', 'p3']	4	VERIFIED
L09	84a:L09:Q0	['p2', 'p4']	4	VERIFIED
L10	84a:L10:Q0	['p2', 'p5']	4	VERIFIED
L11	84a:L11:Q0	['p2', 'p6']	4	VERIFIED
L12	84a:L12:Q0	['p2', 'p7']	4	VERIFIED
L13	84a:L13:Q0	['p2', 'p8']	4	VERIFIED
L14	84a:L14:Q0	['p3', 'p4']	4	VERIFIED
L15	84a:L15:Q0	['p3', 'p5']	4	VERIFIED
L16	84a:L16:Q0	['p3', 'p6']	4	VERIFIED
L17	84a:L17:Q0	['p3', 'p7']	4	VERIFIED
L18	84a:L18:Q0	['p3', 'p8']	4	VERIFIED
L19	84a:L19:Q0	['p4', 'p5']	4	VERIFIED
L20	84a:L20:Q0	['p4', 'p6']	4	VERIFIED
L21	84a:L21:Q0	['p4', 'p7']	4	VERIFIED
L22	84a:L22:Q0	['p4', 'p8']	4	VERIFIED
L23	84a:L23:Q0	['p5', 'p6']	4	VERIFIED
L24	84a:L24:Q0	['p5', 'p7']	4	VERIFIED
L25	84a:L25:Q0	['p5', 'p8']	4	VERIFIED
L26	84a:L26:Q0	['p6', 'p7']	4	VERIFIED
L27	84a:L27:Q0	['p6', 'p8']	4	VERIFIED
L28	84a:L28:Q0	['p7', 'p8']	4	VERIFIED
