claim_level	directed	evidence_type	join_state	relationship_id	relationship_type	source_id	target_id
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:83f24160bf7d4b78ab5edc3589cfc2c5a6abd5a7c586b6472c5c3984504fd24a	source_crosswalk	ckc:1	cynk_meyer_table1:1
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:fce922bc469c4a8705a7eaa7544c3d0722285af941a01dae951e6e0fd74cddb4	source_crosswalk	ckc:2	cynk_meyer_table1:2
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:3540103a417172092495bc0d19e17cbb16c74842a101bbf7d8e618e255a40340	source_crosswalk	ckc:3	cynk_meyer_table1:3
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:7973cb2e44284b211b67fa1bf9e5c479800f55ffeb854d86bf63f7f987bcc58f	source_crosswalk	ckc:4	cynk_meyer_table1:4
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:90dca06252e5baee7ec318738d6a9cbccf544dd8b97cb66641293db8706e7149	source_crosswalk	ckc:5	cynk_meyer_table1:5
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:74e8e2afe40657b0371d4329b693f923d473bf6a00a3ebe407f5c2c872f0c5b6	source_crosswalk	ckc:6	cynk_meyer_table1:6
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:1148c9fa72aa3c29abfe9fc6e85fd8277cbf043811c4229d656ecf7e7fbf991f	source_crosswalk	ckc:7	cynk_meyer_table1:7
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:598fda6997f23369825d0b825009cfe87212b2e0abc56013b5f2e1411e48d991	source_crosswalk	ckc:8	cynk_meyer_table1:8
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:bf67b8619edbbb16c51f7e814771160453b43c4185d1a9184610d8bd0fd4200b	source_crosswalk	ckc:9	cynk_meyer_table1:9
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:9e0a8e179cdedae303f1bc304b074511c0549a5c35ea4e9bafabbe5ce17687e8	source_crosswalk	ckc:10	cynk_meyer_table1:10
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:f6565e7733b1ca25202e488412c7236ef1fb2b7fa0078eba1da8bd25957d2db8	source_crosswalk	ckc:11	cynk_meyer_table1:11
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:152915acbc7e0a670950ddc2924d54005f7cefb8b104dab58138df34c00991e6	source_crosswalk	ckc:12	cynk_meyer_table1:12
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:44548f6c790168bb0a120ff67cc3af58d592b1246e4a673db1e8609df99e437f	source_crosswalk	ckc:13	cynk_meyer_table1:13
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:c84e2a06c5b7b74a6d4b1282ca72b9fd6138dd20ee6cb49c1a09f8acd38357cc	source_crosswalk	ckc:14	cynk_meyer_table1:14
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:82032f0a164e10fd85a3b398f7f6180d48edbdef2e266cae4252583b14559b33	source_crosswalk	ckc:15	cynk_meyer_table1:15
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:4d2892485b94290b6cefecddd2295a652b1f8a21aab231f2a2f448cc94f981d9	source_crosswalk	ckc:16	cynk_meyer_table1:16
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:9d57df0ef9c0784727f21f65083981cc54bd0a7bec3b9abd4c84ff7e81920793	source_crosswalk	ckc:17	cynk_meyer_table1:17
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:31b5364b55b945cf008174eb53b81703b0aacc1e52cdd32bbeb954af38184762	source_crosswalk	ckc:18	cynk_meyer_table1:18
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:306a9c03a1febe5d4d1659e3e91ebfaaa8af83b7cfade6dc9e7164bf8b17ba5c	source_crosswalk	ckc:19	cynk_meyer_table1:19
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:217f1f06f4be168467525e833d9251004782e2ab680e774945482af7c2d16b00	source_crosswalk	ckc:20	cynk_meyer_table1:20
